DIRECTORY;cluster_results
BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_a-find_inv_bvsge_bvadd_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsge_bvand_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvsge_bvashr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsge_bvashr1_4bit.sy;mo;-;3;1331.26;4000.0
cvc4_default/syntax_a-find_inv_bvsge_bvlshr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsge_bvlshr1_4bit.sy;mo;-;3;883.0;4000.2
cvc4_default/syntax_a-find_inv_bvsge_bvmul_4bit.sy;mo;-;3;1311.01;4000.2
cvc4_default/syntax_a-find_inv_bvsge_bvneg_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvsge_bvnot_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvsge_bvor_4bit.sy;ok;20;0;0.0;0.5
cvc4_default/syntax_a-find_inv_bvsge_bvshl0_4bit.sy;mo;-;3;1245.3;4000.3
cvc4_default/syntax_a-find_inv_bvsge_bvshl1_4bit.sy;mo;-;3;992.63;4000.2
cvc4_default/syntax_a-find_inv_bvsge_bvudiv0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvsge_bvudiv1_4bit.sy;mo;-;3;848.82;4000.2
cvc4_default/syntax_a-find_inv_bvsge_bvurem0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsge_bvurem1_4bit.sy;mo;-;3;2075.9;4000.1
cvc4_default/syntax_a-find_inv_bvsgt_bvadd_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsgt_bvand_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_a-find_inv_bvsgt_bvashr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsgt_bvashr1_4bit.sy;mo;-;3;736.4;4000.1
cvc4_default/syntax_a-find_inv_bvsgt_bvlshr0_4bit.sy;ok;20;0;0.09;21.9
cvc4_default/syntax_a-find_inv_bvsgt_bvlshr1_4bit.sy;mo;-;3;697.79;4000.7
cvc4_default/syntax_a-find_inv_bvsgt_bvmul_4bit.sy;mo;-;3;977.3;4000.2
cvc4_default/syntax_a-find_inv_bvsgt_bvneg_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvsgt_bvnot_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_bvsgt_bvor_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsgt_bvshl0_4bit.sy;mo;-;3;723.17;4000.3
cvc4_default/syntax_a-find_inv_bvsgt_bvshl1_4bit.sy;mo;-;3;655.95;4000.8
cvc4_default/syntax_a-find_inv_bvsgt_bvudiv0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvsgt_bvudiv1_4bit.sy;mo;-;3;733.97;4000.0
cvc4_default/syntax_a-find_inv_bvsgt_bvurem0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsgt_bvurem1_4bit.sy;mo;-;3;1118.26;4000.3
cvc4_default/syntax_a-find_inv_bvsle_bvadd_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsle_bvand_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvsle_bvashr0_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvsle_bvashr1_4bit.sy;mo;-;3;1426.02;4000.1
cvc4_default/syntax_a-find_inv_bvsle_bvlshr0_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_bvsle_bvlshr1_4bit.sy;mo;-;3;699.75;4000.1
cvc4_default/syntax_a-find_inv_bvsle_bvmul_4bit.sy;mo;-;3;1300.56;4000.2
cvc4_default/syntax_a-find_inv_bvsle_bvneg_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvsle_bvnot_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_a-find_inv_bvsle_bvor_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsle_bvshl0_4bit.sy;mo;-;3;922.51;4000.2
cvc4_default/syntax_a-find_inv_bvsle_bvshl1_4bit.sy;mo;-;3;757.28;4000.7
cvc4_default/syntax_a-find_inv_bvsle_bvudiv0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvsle_bvudiv1_4bit.sy;mo;-;3;1085.49;4000.2
cvc4_default/syntax_a-find_inv_bvsle_bvurem0_4bit.sy;mo;-;3;852.86;4000.4
cvc4_default/syntax_a-find_inv_bvsle_bvurem1_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_bvslt_bvadd_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvslt_bvand_4bit.sy;ok;20;0;0.0;0.4
