BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit10.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit11.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit12.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit13.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit14.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit15.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit16.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit17.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit18.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit19.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit20.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit21.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit22.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit23.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit24.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit25.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit26.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit27.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit28.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit29.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit30.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit31.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit4.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit5.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit6.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit7.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit8.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvadd_4bit9.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit10.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit11.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit12.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit13.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit14.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit15.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit16.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit17.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit18.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit19.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit20.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit21.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit22.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit23.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit24.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit25.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit26.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit27.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit28.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit29.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit30.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit31.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvand_4bit4.smt2;ok;20;0;0.0;0.0
