syntax,ic_name
a,bvsge_bvadd
a,bvsge_bvand
a,bvsge_bvashr0
a,bvsge_bvneg
a,bvsge_bvnot
a,bvsge_bvor
a,bvsge_bvurem0
a,bvsgt_bvadd
a,bvsgt_bvand
a,bvsgt_bvashr0
a,bvsgt_bvneg
a,bvsgt_bvnot
a,bvsgt_bvor
a,bvsgt_bvurem0
a,bvsle_bvadd
a,bvsle_bvand
a,bvsle_bvashr0
a,bvsle_bvlshr0
a,bvsle_bvneg
a,bvsle_bvnot
a,bvsle_bvor
a,bvsle_bvudiv0
a,bvsle_bvurem1
a,bvslt_bvadd
a,bvslt_bvand
a,bvslt_bvashr0
a,bvslt_bvlshr0
a,bvslt_bvneg
a,bvslt_bvnot
a,bvslt_bvor
a,bvslt_bvudiv0
a,bvslt_bvurem1
a,bvuge_bvadd
a,bvuge_bvand
a,bvuge_bvashr0
a,bvuge_bvlshr0
a,bvuge_bvlshr1
a,bvuge_bvneg
a,bvuge_bvnot
a,bvuge_bvor
a,bvuge_bvshl0
a,bvuge_bvudiv1
a,bvuge_bvurem0
a,bvuge_bvurem1
a,bvugt_bvadd
a,bvugt_bvand
a,bvugt_bvashr0
a,bvugt_bvlshr0
a,bvugt_bvlshr1
a,bvugt_bvneg
a,bvugt_bvnot
a,bvugt_bvor
a,bvugt_bvshl0
a,bvugt_bvudiv0
a,bvugt_bvudiv1
a,bvugt_bvurem0
a,bvugt_bvurem1
a,bvule_bvadd
a,bvule_bvand
a,bvule_bvashr0
a,bvule_bvlshr0
a,bvule_bvlshr1
a,bvule_bvmul
a,bvule_bvneg
a,bvule_bvnot
a,bvule_bvor
a,bvule_bvshl0
a,bvule_bvshl1
a,bvule_bvudiv0
a,bvule_bvudiv1
a,bvule_bvurem0
a,bvule_bvurem1
a,bvult_bvadd
a,bvult_bvand
a,bvult_bvashr0
a,bvult_bvlshr0
a,bvult_bvlshr1
a,bvult_bvmul
a,bvult_bvneg
a,bvult_bvnot
a,bvult_bvor
a,bvult_bvshl0
a,bvult_bvshl1
a,bvult_bvudiv0
a,bvult_bvudiv1
a,bvult_bvurem0
a,bvult_bvurem1
a,eq_bvadd
a,eq_bvand
a,eq_bvneg
a,eq_bvnot
a,eq_bvor
a,eq_bvudiv0
a,eq_bvurem0
a,eq_bvurem1
a,ne_bvadd
a,ne_bvand
a,ne_bvashr0
a,ne_bvlshr0
a,ne_bvlshr1
a,ne_bvneg
a,ne_bvnot
a,ne_bvor
a,ne_bvshl1
a,ne_bvudiv0
a,ne_bvurem0
a,ne_bvurem1
g,bvsge_bvadd
g,bvsge_bvand
g,bvsge_bvashr0
g,bvsge_bvashr1
g,bvsge_bvlshr0
g,bvsge_bvneg
g,bvsge_bvnot
g,bvsge_bvor
g,bvsge_bvshl0
g,bvsge_bvurem0
g,bvsge_bvurem1
g,bvsgt_bvadd
g,bvsgt_bvand
g,bvsgt_bvashr0
g,bvsgt_bvashr1
g,bvsgt_bvlshr0
g,bvsgt_bvneg
g,bvsgt_bvnot
g,bvsgt_bvor
g,bvsgt_bvshl0
g,bvsgt_bvurem0
g,bvsgt_bvurem1
g,bvsle_bvadd
g,bvsle_bvand
g,bvsle_bvashr0
g,bvsle_bvashr1
g,bvsle_bvlshr0
g,bvsle_bvlshr1
g,bvsle_bvneg
g,bvsle_bvnot
g,bvsle_bvor
g,bvsle_bvshl0
g,bvsle_bvudiv0
g,bvsle_bvurem0
g,bvsle_bvurem1
g,bvslt_bvadd
g,bvslt_bvand
g,bvslt_bvashr0
g,bvslt_bvashr1
g,bvslt_bvlshr0
g,bvslt_bvlshr1
g,bvslt_bvneg
g,bvslt_bvnot
g,bvslt_bvor
g,bvslt_bvshl0
g,bvslt_bvudiv0
g,bvslt_bvurem1
g,bvuge_bvadd
g,bvuge_bvand
g,bvuge_bvashr0
g,bvuge_bvashr1
g,bvuge_bvlshr0
g,bvuge_bvlshr1
g,bvuge_bvneg
g,bvuge_bvnot
g,bvuge_bvor
g,bvuge_bvshl0
g,bvuge_bvudiv1
g,bvuge_bvurem0
g,bvuge_bvurem1
g,bvugt_bvadd
g,bvugt_bvand
g,bvugt_bvashr0
g,bvugt_bvashr1
g,bvugt_bvlshr0
g,bvugt_bvlshr1
g,bvugt_bvneg
g,bvugt_bvnot
g,bvugt_bvor
g,bvugt_bvshl0
g,bvugt_bvudiv0
g,bvugt_bvudiv1
g,bvugt_bvurem0
g,bvugt_bvurem1
g,bvule_bvadd
g,bvule_bvand
g,bvule_bvashr0
g,bvule_bvashr1
g,bvule_bvlshr0
g,bvule_bvlshr1
g,bvule_bvmul
g,bvule_bvneg
g,bvule_bvnot
