file;results/full.txt;results/partial.txt;results/qf_ind.txt;results/full_ind.txt;results/partial_ind.txt;results/rec.txt;results/qf.txt
int_check_bvsgt_bvor_ltr.smt2;unknown;unknown;sat;unknown;unknown;sat;sat
int_check_ne_bvshl0_rtl.smt2;unknown;sat;unknown;unknown;sat;unknown;sat
int_check_ne_bvlshr1_ltr.smt2;unsat;unsat;sat;sat;unknown;unknown;unsat
int_check_bvugt_bvmul_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_bvsgt_bvmul_ltr.smt2;unknown;unknown;unknown;unknown;unknown;unknown;unknown
int_check_bvsgt_bvlshr1_rtl.smt2;unknown;unknown;unsat;unknown;unsat;unknown;unsat
int_check_ne_bvneg_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsge_bvneg_ltr.smt2;unknown;unknown;unknown;unknown;unknown;unknown;unknown
int_check_bvslt_bvand_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_ne_bvand_rtl.smt2;unknown;unsat;unsat;unknown;unsat;unknown;unsat
int_check_ne_bvashr0_ltr.smt2;unknown;unknown;unknown;unknown;unknown;unknown;unknown
int_check_bvslt_bvadd_rtl.smt2;unsat;sat;unsat;unsat;unsat;unknown;unsat
int_check_bvsgt_bvudiv0_ltr.smt2;unsat;unknown;sat;sat;sat;unsat;unsat
int_check_eq_bvand_ltr.smt2;unsat;unsat;sat;unknown;unknown;unsat;unsat
int_check_bvsge_bvashr1_ltr.smt2;unknown;unknown;unknown;sat;unknown;unknown;unknown
int_check_bvuge_bvlshr0_ltr.smt2;unsat;unsat;unknown;sat;sat;unknown;unsat
int_check_bvule_bvudiv1_rtl.smt2;unknown;unsat;sat;unknown;unknown;unknown;sat
int_check_bvult_bvashr0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvuge_bvudiv0_ltr.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_bvuge_bvudiv0_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_bvslt_bvlshr0_ltr.smt2;unsat;unsat;unknown;unknown;unknown;unknown;unsat
int_check_bvuge_bvashr1_rtl.smt2;unknown;unknown;unsat;unknown;unsat;unknown;unsat
int_check_bvule_bvudiv0_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_bvult_bvnot_ltr.smt2;unsat;unsat;sat;sat;sat;unsat;unsat
int_check_eq_bvudiv0_ltr.smt2;unsat;unsat;sat;sat;sat;unsat;unsat
int_check_bvsge_bvshl1_rtl.smt2;sat;unknown;unknown;unknown;unknown;sat;sat
int_check_ne_bvor_rtl.smt2;unknown;unsat;unsat;unknown;unsat;unknown;unsat
int_check_bvult_bvurem1_ltr.smt2;unsat;unsat;sat;sat;sat;unsat;unsat
int_check_bvsge_bvshl0_ltr.smt2;unknown;unknown;unknown;unknown;unknown;unknown;unknown
int_check_bvule_bvashr1_rtl.smt2;unknown;sat;unsat;unsat;unsat;unknown;unsat
int_check_bvugt_bvashr1_ltr.smt2;unknown;unknown;sat;sat;unknown;unknown;unknown
int_check_eq_bvneg_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsgt_bvashr0_ltr.smt2;unknown;unknown;unknown;unknown;unknown;unknown;unknown
int_check_ne_bvand_ltr.smt2;unknown;unknown;sat;unknown;unknown;unknown;unsat
int_check_bvsle_bvashr0_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;unknown
int_check_bvslt_bvmul_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_bvugt_bvudiv0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_ne_bvurem0_ltr.smt2;unsat;unsat;sat;sat;sat;unsat;unsat
int_check_bvult_bvshl0_ltr.smt2;unsat;unsat;sat;sat;sat;unknown;unsat
int_check_bvugt_bvlshr0_rtl.smt2;unknown;sat;unknown;unknown;unknown;unknown;sat
int_check_bvsle_bvnot_ltr.smt2;unknown;unknown;unknown;unknown;unknown;unknown;unsat
int_check_bvule_bvashr1_ltr.smt2;unknown;sat;sat;sat;unknown;unknown;unknown
int_check_bvuge_bvmul_ltr.smt2;unknown;unknown;sat;unknown;unknown;unknown;unknown
int_check_bvslt_bvurem0_ltr.smt2;unknown;unknown;sat;unknown;unknown;unknown;unknown
int_check_eq_bvand_rtl.smt2;unknown;unknown;sat;unknown;unknown;unknown;sat
int_check_bvsgt_bvurem1_rtl.smt2;unknown;unknown;unsat;unknown;unsat;unsat;unknown
int_check_bvugt_bvudiv1_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvashr1_ltr.smt2;unknown;unknown;sat;sat;unknown;unknown;unknown
int_check_bvsle_bvudiv1_rtl.smt2;unknown;sat;sat;unknown;unknown;unknown;unsat
int_check_bvsge_bvlshr0_rtl.smt2;unknown;unknown;unknown;sat;unknown;unknown;unsat
