filename;cvc4;cvc4 --nl-ext-tplanes;cvc4 --nl-ext-tplanes --fmf-fun-rlv;cvc4 --nl-ext-tplanes --cbqi-all;cvc4 --cbqi-all;cvc4 --fmf-fun-rlv;z3
int_check_bvule_bvurem1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvuge_bvor_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsle_bvnot_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvshl1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvugt_bvudiv0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsgt_bvlshr0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvashr0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvudiv0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvadd_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvugt_bvudiv1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
