filename;cvc4;cvc4 --nl-ext-tplanes;cvc4 --nl-ext-tplanes --fmf-fun-rlv;cvc4 --nl-ext-tplanes --cbqi-all;cvc4 --cbqi-all;cvc4 --fmf-fun-rlv;z3
int_check_bvsle_bvnot_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvule_bvurem1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvuge_bvor_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvshl1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvugt_bvudiv0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsgt_bvlshr0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvule_bvneg_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvashr0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvmul_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvadd_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvashr0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;timeout
int_check_bvsle_bvadd_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_ne_bvudiv0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsle_bvlshr0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvule_bvor_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;sat
int_check_bvugt_bvor_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;sat
int_check_bvule_bvshl1_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;sat
int_check_bvsge_bvshl0_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;sat
int_check_ne_bvadd_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;timeout
int_check_ne_bvudiv0_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;timeout
int_check_bvule_bvlshr0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsgt_bvurem0_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;timeout
int_check_bvugt_bvlshr0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_ne_bvlshr1_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;sat
int_check_eq_bvor_rtl.smt2;timeout;timeout;sat;timeout;timeout;sat;sat
int_check_bvugt_bvudiv1_rtl.smt2;timeout;timeout;unsat;timeout;timeout;unsat;unsat
int_check_bvsle_bvshl0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;timeout
int_check_bvsge_bvneg_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvurem1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_ne_bvudiv1_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvule_bvmul_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvsle_bvor_rtl.smt2;timeout;timeout;sat;timeout;timeout;sat;timeout
int_check_bvugt_bvlshr0_rtl.smt2;timeout;timeout;sat;timeout;timeout;sat;timeout
int_check_bvsle_bvashr0_ltr.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
int_check_bvule_bvand_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvule_bvashr1_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;timeout
int_check_bvslt_bvneg_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvudiv0_rtl.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
int_check_bvslt_bvnot_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_eq_bvashr0_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;timeout
int_check_bvult_bvurem1_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_eq_bvshl0_rtl.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
int_check_bvsge_bvudiv1_rtl.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
int_check_bvugt_bvashr0_rtl.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
int_check_bvult_bvudiv1_ltr.smt2;unknown;unknown;sat;timeout;timeout;sat;timeout
int_check_bvsle_bvudiv1_rtl.smt2;timeout;timeout;unsat;timeout;timeout;unsat;timeout
int_check_bvsgt_bvlshr1_rtl.smt2;timeout;timeout;unsat;timeout;timeout;unsat;timeout
int_check_bvule_bvor_rtl.smt2;timeout;timeout;sat;timeout;timeout;sat;sat
int_check_bvuge_bvurem0_ltr.smt2;unsat;unsat;unsat;unsat;unsat;unsat;timeout
