DIRECTORY;cvc4_cbqi;cvc4_default;cvc4_fmf;cvc4_tplanes;cvc4_tplanes_cbqi;cvc4_tplanes_fmf
BENCHMARK;STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s]
full-int_check_bvsge_bvadd_ltr.smt2;ok;1;0;1;337.9;ok;1;0;1;9.24;to;0;0;0;10800.17;ok;1;0;1;9.64;ok;1;0;1;336.85;to;0;0;0;10800.18
full-int_check_bvsge_bvadd_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsge_bvand_ltr.smt2;to;0;0;0;10800.07;ok;0;0;0;0.18;to;0;0;0;10800.16;ok;0;0;0;0.22;to;0;0;0;10800.09;to;0;0;0;10800.14
full-int_check_bvsge_bvand_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;2.53;to;0;0;0;10800.15;ok;0;0;0;2.61;to;0;0;0;10800.02;to;0;0;0;10800.2
full-int_check_bvsge_bvashr0_ltr.smt2;to;0;0;0;10800.1;ok;0;0;0;1.39;mo;0;0;0;760.95;ok;0;0;0;1.26;to;0;0;0;10800.06;mo;0;0;0;750.49
full-int_check_bvsge_bvashr0_rtl.smt2;to;0;0;0;10800.06;ok;0;0;0;0.17;to;0;0;0;10800.06;ok;0;0;0;0.16;to;0;0;0;10800.05;to;0;0;0;10800.01
full-int_check_bvsge_bvashr1_ltr.smt2;to;0;0;0;10800.02;ok;0;0;0;0.51;to;0;0;0;10800.19;ok;0;0;0;0.46;to;0;0;0;10800.08;to;0;0;0;10800.16
full-int_check_bvsge_bvashr1_rtl.smt2;to;0;0;0;10800.01;ok;0;0;0;0.15;ok;1;0;1;7.53;ok;0;0;0;0.16;to;0;0;0;10800.09;ok;1;0;1;7.45
full-int_check_bvsge_bvlshr0_ltr.smt2;to;0;0;0;10800.1;mo;0;0;0;8453.66;mo;0;0;0;1036.35;mo;0;0;0;8555.91;to;0;0;0;10800.09;mo;0;0;0;1054.71
full-int_check_bvsge_bvlshr0_rtl.smt2;to;0;0;0;10800.06;ok;0;0;0;0.87;mo;0;0;0;7193.14;ok;0;0;0;0.92;to;0;0;0;10800.08;mo;0;0;0;7167.78
full-int_check_bvsge_bvlshr1_ltr.smt2;to;0;0;0;10800.1;ok;0;0;0;0.16;to;0;0;0;10800.16;ok;0;0;0;0.17;to;0;0;0;10800.07;to;0;0;0;10800.12
full-int_check_bvsge_bvlshr1_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.37;to;0;0;0;10800.05;ok;0;0;0;0.44;to;0;0;0;10800.09;to;0;0;0;10800.01
full-int_check_bvsge_bvmul_ltr.smt2;mo;0;0;0;8549.55;to;0;0;0;10800.15;mo;0;0;0;6261.69;to;0;0;0;10776.37;mo;0;0;0;8630.79;mo;0;0;0;6337.03
full-int_check_bvsge_bvmul_rtl.smt2;to;0;0;0;10800.04;ok;0;0;0;0.22;to;0;0;0;10800.19;ok;0;0;0;0.18;to;0;0;0;10800.01;to;0;0;0;10800.11
full-int_check_bvsge_bvneg_ltr.smt2;ok;1;0;1;1.26;ok;1;0;1;0.78;mo;0;0;0;3179.33;ok;1;0;1;0.76;ok;1;0;1;1.26;mo;0;0;0;3364.94
full-int_check_bvsge_bvneg_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsge_bvnot_ltr.smt2;ok;1;0;1;0.72;ok;1;0;1;0.32;to;0;0;0;10800.19;ok;1;0;1;0.39;ok;1;0;1;0.72;to;0;0;0;10800.12
