filename;cvc4;cvc4 --nl-ext-tplanes;cvc4 --nl-ext-tplanes --fmf-fun-rlv;cvc4 --nl-ext-tplanes --cbqi-all;cvc4 --cbqi-all;cvc4 --fmf-fun-rlv;z3
ltr_08b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_11xor.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_11or.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_01.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_12add.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_05b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_08a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_07.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_09b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_04b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_03.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_04a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_04b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_02.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_11and.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_11and.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_08b.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rtl_09a.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
ltr_05b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_13mul.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_12mul.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_02.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_06.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_12add.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_13add.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_12mul.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_13add.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_11xor.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_01.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_07.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_11or.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_09a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_04a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_05a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_08a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
ltr_03.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_05a.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_13mul.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_06.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rtl_09b.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
