,ic_name,direction,encoding,cond_inv,proved,direction_cond,ic
20,bvsge_bvadd,rtl,combined,NA,yes,rtl,true
21,bvsge_bvadd,rtl,full,NA,yes,rtl,true
22,bvsge_bvadd,rtl,partial,NA,yes,rtl,true
23,bvsge_bvadd,rtl,qf,NA,yes,rtl,true
24,bvsge_bvadd,rtl,rec,NA,yes,rtl,true
70,bvsge_bvashr0,rtl,combined,NA,yes,rtl,(bvsge (bvlshr max s) t)
72,bvsge_bvashr0,rtl,partial,NA,yes,rtl,(bvsge (bvlshr max s) t)
90,bvsge_bvashr1,rtl,combined,NA,yes,rtl,(not (and (bvult t (bvnot t)) (bvslt s t)))
92,bvsge_bvashr1,rtl,partial,NA,yes,rtl,(not (and (bvult t (bvnot t)) (bvslt s t)))
93,bvsge_bvashr1,rtl,qf,NA,yes,rtl,(not (and (bvult t (bvnot t)) (bvslt s t)))
94,bvsge_bvashr1,rtl,rec,NA,yes,rtl,(not (and (bvult t (bvnot t)) (bvslt s t)))
112,bvsge_bvlshr0,rtl,partial,NA,yes,rtl,(=> (not (= s (_ bv0 4))) (bvsge (bvlshr (bvnot (_ bv0 4)) s) t))
113,bvsge_bvlshr0,rtl,qf,NA,yes,rtl,(=> (not (= s (_ bv0 4))) (bvsge (bvlshr (bvnot (_ bv0 4)) s) t))
120,bvsge_bvlshr1,rtl,combined,NA,yes,rtl,(and (=> (bvslt s (_ bv0 4)) (bvsge (bvlshr s (_ bv1 4)) t)) (=> (bvsge s (_ bv0 4)) (bvsge s t)))
122,bvsge_bvlshr1,rtl,partial,NA,yes,rtl,(and (=> (bvslt s (_ bv0 4)) (bvsge (bvlshr s (_ bv1 4)) t)) (=> (bvsge s (_ bv0 4)) (bvsge s t)))
123,bvsge_bvlshr1,rtl,qf,NA,yes,rtl,(and (=> (bvslt s (_ bv0 4)) (bvsge (bvlshr s (_ bv1 4)) t)) (=> (bvsge s (_ bv0 4)) (bvsge s t)))
155,bvsge_bvneg,rtl,combined,NA,yes,rtl,true
156,bvsge_bvneg,rtl,full,NA,yes,rtl,true
157,bvsge_bvneg,rtl,partial,NA,yes,rtl,true
158,bvsge_bvneg,rtl,qf,NA,yes,rtl,true
159,bvsge_bvneg,rtl,rec,NA,yes,rtl,true
180,bvsge_bvnot,rtl,combined,NA,yes,rtl,true
181,bvsge_bvnot,rtl,full,NA,yes,rtl,true
182,bvsge_bvnot,rtl,partial,NA,yes,rtl,true
183,bvsge_bvnot,rtl,qf,NA,yes,rtl,true
184,bvsge_bvnot,rtl,rec,NA,yes,rtl,true
230,bvsge_bvshl1,rtl,combined,NA,yes,rtl,(or  (bvsge (bvshl s (_ bv0 4)) t) (bvsge (bvshl s (_ bv1 4)) t) (bvsge (bvshl s (_ bv2 4)) t) (bvsge (bvshl s (_ bv3 4)) t) (bvsge (bvshl s (_ bv4 4)) t))
232,bvsge_bvshl1,rtl,partial,NA,yes,rtl,(or  (bvsge (bvshl s (_ bv0 4)) t) (bvsge (bvshl s (_ bv1 4)) t) (bvsge (bvshl s (_ bv2 4)) t) (bvsge (bvshl s (_ bv3 4)) t) (bvsge (bvshl s (_ bv4 4)) t))
241,bvsge_bvudiv0,rtl,full,NA,yes,rtl,(or (bvsge (udivtotal (bvnot (_ bv0 4)) s) t) (bvsge (udivtotal max s) t))
243,bvsge_bvudiv0,rtl,qf,NA,yes,rtl,(or (bvsge (udivtotal (bvnot (_ bv0 4)) s) t) (bvsge (udivtotal max s) t))
250,bvsge_bvudiv1,rtl,combined,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (bvslt s (_ bv0 4)) (bvsge (bvlshr s (_ bv1 4)) t)))
252,bvsge_bvudiv1,rtl,partial,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (bvslt s (_ bv0 4)) (bvsge (bvlshr s (_ bv1 4)) t)))
253,bvsge_bvudiv1,rtl,qf,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (bvslt s (_ bv0 4)) (bvsge (bvlshr s (_ bv1 4)) t)))
275,bvsge_bvurem0,rtl,combined,NA,yes,rtl,(or (bvslt t s) (bvsge (_ bv0 4) s))
276,bvsge_bvurem0,rtl,full,NA,yes,rtl,(or (bvslt t s) (bvsge (_ bv0 4) s))
277,bvsge_bvurem0,rtl,partial,NA,yes,rtl,(or (bvslt t s) (bvsge (_ bv0 4) s))
278,bvsge_bvurem0,rtl,qf,NA,yes,rtl,(or (bvslt t s) (bvsge (_ bv0 4) s))
279,bvsge_bvurem0,rtl,rec,NA,yes,rtl,(or (bvslt t s) (bvsge (_ bv0 4) s))
290,bvsge_bvurem1,rtl,combined,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (and (bvslt s (_ bv0 4)) (bvsge t (_ bv0 4))) (bvugt (bvsub s t) t)))
291,bvsge_bvurem1,rtl,full,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (and (bvslt s (_ bv0 4)) (bvsge t (_ bv0 4))) (bvugt (bvsub s t) t)))
292,bvsge_bvurem1,rtl,partial,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (and (bvslt s (_ bv0 4)) (bvsge t (_ bv0 4))) (bvugt (bvsub s t) t)))
293,bvsge_bvurem1,rtl,qf,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (and (bvslt s (_ bv0 4)) (bvsge t (_ bv0 4))) (bvugt (bvsub s t) t)))
294,bvsge_bvurem1,rtl,rec,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsge s t)) (=> (and (bvslt s (_ bv0 4)) (bvsge t (_ bv0 4))) (bvugt (bvsub s t) t)))
315,bvsgt_bvadd,rtl,combined,NA,yes,rtl,(distinct t max)
316,bvsgt_bvadd,rtl,full,NA,yes,rtl,(distinct t max)
317,bvsgt_bvadd,rtl,partial,NA,yes,rtl,(distinct t max)
318,bvsgt_bvadd,rtl,qf,NA,yes,rtl,(distinct t max)
319,bvsgt_bvadd,rtl,rec,NA,yes,rtl,(distinct t max)
365,bvsgt_bvashr0,rtl,combined,NA,yes,rtl,(bvslt t (bvlshr max s))
367,bvsgt_bvashr0,rtl,partial,NA,yes,rtl,(bvslt t (bvlshr max s))
415,bvsgt_bvlshr1,rtl,combined,NA,yes,rtl,(and (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr s (_ bv1 4)) t)) (=> (bvsge s (_ bv0 4)) (bvsgt s t)))
417,bvsgt_bvlshr1,rtl,partial,NA,yes,rtl,(and (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr s (_ bv1 4)) t)) (=> (bvsge s (_ bv0 4)) (bvsgt s t)))
450,bvsgt_bvneg,rtl,combined,NA,yes,rtl,(distinct t max)
451,bvsgt_bvneg,rtl,full,NA,yes,rtl,(distinct t max)
452,bvsgt_bvneg,rtl,partial,NA,yes,rtl,(distinct t max)
453,bvsgt_bvneg,rtl,qf,NA,yes,rtl,(distinct t max)
454,bvsgt_bvneg,rtl,rec,NA,yes,rtl,(distinct t max)
475,bvsgt_bvnot,rtl,combined,NA,yes,rtl,(distinct t max)
476,bvsgt_bvnot,rtl,full,NA,yes,rtl,(distinct t max)
477,bvsgt_bvnot,rtl,partial,NA,yes,rtl,(distinct t max)
478,bvsgt_bvnot,rtl,qf,NA,yes,rtl,(distinct t max)
479,bvsgt_bvnot,rtl,rec,NA,yes,rtl,(distinct t max)
525,bvsgt_bvshl1,rtl,combined,NA,yes,rtl,(or  (bvsgt (bvshl s (_ bv0 4)) t) (bvsgt (bvshl s (_ bv1 4)) t) (bvsgt (bvshl s (_ bv2 4)) t) (bvsgt (bvshl s (_ bv3 4)) t) (bvsgt (bvshl s (_ bv4 4)) t))
527,bvsgt_bvshl1,rtl,partial,NA,yes,rtl,(or  (bvsgt (bvshl s (_ bv0 4)) t) (bvsgt (bvshl s (_ bv1 4)) t) (bvsgt (bvshl s (_ bv2 4)) t) (bvsgt (bvshl s (_ bv3 4)) t) (bvsgt (bvshl s (_ bv4 4)) t))
536,bvsgt_bvudiv0,rtl,full,NA,yes,rtl,(or (bvsgt (udivtotal (bvnot (_ bv0 4)) s) t) (bvsgt (udivtotal max s) t))
537,bvsgt_bvudiv0,rtl,partial,NA,yes,rtl,(or (bvsgt (udivtotal (bvnot (_ bv0 4)) s) t) (bvsgt (udivtotal max s) t))
538,bvsgt_bvudiv0,rtl,qf,NA,yes,rtl,(or (bvsgt (udivtotal (bvnot (_ bv0 4)) s) t) (bvsgt (udivtotal max s) t))
545,bvsgt_bvudiv1,rtl,combined,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr s (_ bv1 4)) t)))
547,bvsgt_bvudiv1,rtl,partial,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr s (_ bv1 4)) t)))
548,bvsgt_bvudiv1,rtl,qf,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr s (_ bv1 4)) t)))
