operation,eq,ne,bvult,bvugt,bvule,bvuge,bvslt,bvsgt,bvsle,bvsge
bvadd,\both,\both,\both,\both,\both,\both,\both,\ltr,\both,\both
bvand,\ltr,\both,\both,\both,\both,\both,\ltr,\ltr,\none,\ltr
bvashr0,\none,\rtl,\both,\both,\both,\both,\ltr,\none,\ltr,\none
bvashr1,\ltr,\both,\rtl,\rtl,\rtl,\both,\rtl,\none,\rtl,\rtl
bvlshr0,\both,\rtl,\both,\ltr,\both,\both,\both,\ltr,\ltr,\ltr
bvlshr1,\both,\both,\both,\both,\both,\both,\both,\ltr,\rtl,\both
bvmul,\none,\both,\both,\none,\both,\none,\none,\none,\rtl,\none
bvneg,\both,\both,\both,\both,\both,\both,\both,\ltr,\both,\both
bvnot,\both,\both,\both,\both,\both,\both,\both,\both,\both,\both
bvor,\ltr,\both,\both,\both,\both,\both,\ltr,\ltr,\ltr,\none
bvshl0,\ltr,\both,\both,\ltr,\both,\ltr,\ltr,\none,\none,\none
bvshl1,\both,\both,\both,\both,\both,\both,\none,\both,\rtl,\both
bvudiv0,\both,\both,\both,\both,\both,\rtl,\both,\both,\both,\both
bvudiv1,\both,\rtl,\both,\both,\both,\both,\both,\rtl,\both,\rtl
bvurem0,\both,\both,\both,\both,\both,\both,\none,\both,\rtl,\both
bvurem1,\ltr,\both,\both,\both,\both,\both,\both,\rtl,\both,\rtl
