,ic_name,direction,encoding,cond_inv,proved
0,bvsge_bvadd,ltr,full,inv_a,yes
1,bvsge_bvadd,ltr,full,inv_g,yes
2,bvsge_bvadd,ltr,full,inv_r,no
3,bvsge_bvadd,ltr,full,no_inv,no
4,bvsge_bvadd,ltr,partial,inv_a,yes
5,bvsge_bvadd,ltr,partial,inv_g,yes
6,bvsge_bvadd,ltr,partial,inv_r,no
7,bvsge_bvadd,ltr,partial,no_inv,no
8,bvsge_bvadd,ltr,qf,inv_a,no
9,bvsge_bvadd,ltr,qf,inv_g,no
10,bvsge_bvadd,ltr,qf,inv_r,no
11,bvsge_bvadd,ltr,qf,no_inv,no
12,bvsge_bvadd,rtl,full,NA,yes
13,bvsge_bvadd,rtl,partial,NA,yes
14,bvsge_bvadd,rtl,qf,NA,yes
15,bvsge_bvand,ltr,full,inv_a,no
16,bvsge_bvand,ltr,full,inv_g,no
17,bvsge_bvand,ltr,full,inv_r,no
18,bvsge_bvand,ltr,full,no_inv,no
19,bvsge_bvand,ltr,partial,inv_a,no
20,bvsge_bvand,ltr,partial,inv_g,no
21,bvsge_bvand,ltr,partial,inv_r,no
22,bvsge_bvand,ltr,partial,no_inv,no
23,bvsge_bvand,ltr,qf,inv_a,no
24,bvsge_bvand,ltr,qf,inv_g,no
25,bvsge_bvand,ltr,qf,inv_r,no
26,bvsge_bvand,ltr,qf,no_inv,no
27,bvsge_bvand,rtl,full,NA,no
28,bvsge_bvand,rtl,partial,NA,no
29,bvsge_bvand,rtl,qf,NA,no
30,bvsge_bvashr0,ltr,full,inv_a,no
31,bvsge_bvashr0,ltr,full,inv_g,no
32,bvsge_bvashr0,ltr,full,inv_r,no
33,bvsge_bvashr0,ltr,full,no_inv,no
34,bvsge_bvashr0,ltr,partial,inv_a,yes
35,bvsge_bvashr0,ltr,partial,inv_g,yes
36,bvsge_bvashr0,ltr,partial,inv_r,yes
37,bvsge_bvashr0,ltr,partial,no_inv,no
38,bvsge_bvashr0,ltr,qf,inv_a,yes
39,bvsge_bvashr0,ltr,qf,inv_g,yes
40,bvsge_bvashr0,ltr,qf,inv_r,yes
41,bvsge_bvashr0,ltr,qf,no_inv,no
42,bvsge_bvashr0,rtl,full,NA,no
43,bvsge_bvashr0,rtl,partial,NA,yes
44,bvsge_bvashr0,rtl,qf,NA,no
45,bvsge_bvashr1,ltr,full,inv_g,no
46,bvsge_bvashr1,ltr,full,inv_r,no
47,bvsge_bvashr1,ltr,full,no_inv,no
48,bvsge_bvashr1,ltr,partial,inv_g,no
49,bvsge_bvashr1,ltr,partial,inv_r,no
50,bvsge_bvashr1,ltr,partial,no_inv,no
51,bvsge_bvashr1,ltr,qf,inv_g,no
52,bvsge_bvashr1,ltr,qf,inv_r,no
53,bvsge_bvashr1,ltr,qf,no_inv,no
54,bvsge_bvashr1,rtl,full,NA,yes
55,bvsge_bvashr1,rtl,partial,NA,yes
56,bvsge_bvashr1,rtl,qf,NA,yes
57,bvsge_bvlshr0,ltr,full,inv_g,no
58,bvsge_bvlshr0,ltr,full,inv_r,no
59,bvsge_bvlshr0,ltr,full,no_inv,no
60,bvsge_bvlshr0,ltr,partial,inv_g,yes
61,bvsge_bvlshr0,ltr,partial,inv_r,no
62,bvsge_bvlshr0,ltr,partial,no_inv,no
63,bvsge_bvlshr0,ltr,qf,inv_g,yes
64,bvsge_bvlshr0,ltr,qf,inv_r,no
65,bvsge_bvlshr0,ltr,qf,no_inv,no
66,bvsge_bvlshr0,rtl,full,NA,no
67,bvsge_bvlshr0,rtl,partial,NA,yes
68,bvsge_bvlshr0,rtl,qf,NA,no
69,bvsge_bvlshr1,ltr,full,no_inv,no
70,bvsge_bvlshr1,ltr,partial,no_inv,no
71,bvsge_bvlshr1,ltr,qf,no_inv,no
72,bvsge_bvlshr1,rtl,full,NA,no
73,bvsge_bvlshr1,rtl,partial,NA,yes
74,bvsge_bvlshr1,rtl,qf,NA,yes
75,bvsge_bvmul,ltr,full,no_inv,no
76,bvsge_bvmul,ltr,partial,no_inv,no
77,bvsge_bvmul,ltr,qf,no_inv,no
78,bvsge_bvmul,rtl,full,NA,no
79,bvsge_bvmul,rtl,partial,NA,no
80,bvsge_bvmul,rtl,qf,NA,no
81,bvsge_bvneg,ltr,full,inv_a,yes
82,bvsge_bvneg,ltr,full,inv_g,yes
83,bvsge_bvneg,ltr,full,inv_r,yes
84,bvsge_bvneg,ltr,full,no_inv,no
85,bvsge_bvneg,ltr,partial,inv_a,yes
86,bvsge_bvneg,ltr,partial,inv_g,yes
87,bvsge_bvneg,ltr,partial,inv_r,yes
88,bvsge_bvneg,ltr,partial,no_inv,no
89,bvsge_bvneg,ltr,qf,inv_a,no
90,bvsge_bvneg,ltr,qf,inv_g,no
91,bvsge_bvneg,ltr,qf,inv_r,no
92,bvsge_bvneg,ltr,qf,no_inv,no
93,bvsge_bvneg,rtl,full,NA,yes
94,bvsge_bvneg,rtl,partial,NA,yes
95,bvsge_bvneg,rtl,qf,NA,yes
96,bvsge_bvnot,ltr,full,inv_a,yes
97,bvsge_bvnot,ltr,full,inv_g,yes
