config,ic_name,direction,proved
cvc4_tplanes,bvsge_bvadd,ltr,yes
cvc4_tplanes,bvsge_bvadd,rtl,yes
cvc4_tplanes,bvsge_bvand,ltr,no
cvc4_tplanes,bvsge_bvand,rtl,no
cvc4_tplanes,bvsge_bvashr0,ltr,yes
cvc4_tplanes,bvsge_bvashr0,rtl,yes
cvc4_tplanes,bvsge_bvashr1,ltr,no
cvc4_tplanes,bvsge_bvashr1,rtl,yes
cvc4_tplanes,bvsge_bvlshr0,ltr,yes
cvc4_tplanes,bvsge_bvlshr0,rtl,yes
cvc4_tplanes,bvsge_bvlshr1,ltr,no
cvc4_tplanes,bvsge_bvlshr1,rtl,yes
cvc4_tplanes,bvsge_bvmul,ltr,no
cvc4_tplanes,bvsge_bvmul,rtl,no
cvc4_tplanes,bvsge_bvneg,ltr,yes
cvc4_tplanes,bvsge_bvneg,rtl,yes
cvc4_tplanes,bvsge_bvnot,ltr,yes
cvc4_tplanes,bvsge_bvnot,rtl,yes
cvc4_tplanes,bvsge_bvor,ltr,no
cvc4_tplanes,bvsge_bvor,rtl,no
cvc4_tplanes,bvsge_bvshl0,ltr,no
cvc4_tplanes,bvsge_bvshl0,rtl,no
cvc4_tplanes,bvsge_bvshl1,ltr,no
cvc4_tplanes,bvsge_bvshl1,rtl,yes
cvc4_tplanes,bvsge_bvudiv0,ltr,no
cvc4_tplanes,bvsge_bvudiv0,rtl,yes
cvc4_tplanes,bvsge_bvudiv1,ltr,no
cvc4_tplanes,bvsge_bvudiv1,rtl,yes
cvc4_tplanes,bvsge_bvurem0,ltr,yes
cvc4_tplanes,bvsge_bvurem0,rtl,yes
cvc4_tplanes,bvsge_bvurem1,ltr,no
cvc4_tplanes,bvsge_bvurem1,rtl,yes
cvc4_tplanes,bvsgt_bvadd,ltr,yes
cvc4_tplanes,bvsgt_bvadd,rtl,yes
cvc4_tplanes,bvsgt_bvand,ltr,no
cvc4_tplanes,bvsgt_bvand,rtl,no
cvc4_tplanes,bvsgt_bvashr0,ltr,yes
cvc4_tplanes,bvsgt_bvashr0,rtl,yes
cvc4_tplanes,bvsgt_bvashr1,ltr,no
cvc4_tplanes,bvsgt_bvashr1,rtl,no
cvc4_tplanes,bvsgt_bvlshr0,ltr,yes
cvc4_tplanes,bvsgt_bvlshr0,rtl,no
cvc4_tplanes,bvsgt_bvlshr1,ltr,no
cvc4_tplanes,bvsgt_bvlshr1,rtl,yes
cvc4_tplanes,bvsgt_bvmul,ltr,no
cvc4_tplanes,bvsgt_bvmul,rtl,no
cvc4_tplanes,bvsgt_bvneg,ltr,yes
cvc4_tplanes,bvsgt_bvneg,rtl,yes
cvc4_tplanes,bvsgt_bvnot,ltr,yes
cvc4_tplanes,bvsgt_bvnot,rtl,yes
cvc4_tplanes,bvsgt_bvor,ltr,no
cvc4_tplanes,bvsgt_bvor,rtl,no
cvc4_tplanes,bvsgt_bvshl0,ltr,no
cvc4_tplanes,bvsgt_bvshl0,rtl,no
cvc4_tplanes,bvsgt_bvshl1,ltr,no
cvc4_tplanes,bvsgt_bvshl1,rtl,yes
cvc4_tplanes,bvsgt_bvudiv0,ltr,no
cvc4_tplanes,bvsgt_bvudiv0,rtl,yes
cvc4_tplanes,bvsgt_bvudiv1,ltr,no
cvc4_tplanes,bvsgt_bvudiv1,rtl,yes
cvc4_tplanes,bvsgt_bvurem0,ltr,yes
cvc4_tplanes,bvsgt_bvurem0,rtl,yes
cvc4_tplanes,bvsgt_bvurem1,ltr,no
cvc4_tplanes,bvsgt_bvurem1,rtl,yes
cvc4_tplanes,bvsle_bvadd,ltr,yes
cvc4_tplanes,bvsle_bvadd,rtl,yes
cvc4_tplanes,bvsle_bvand,ltr,no
cvc4_tplanes,bvsle_bvand,rtl,no
cvc4_tplanes,bvsle_bvashr0,ltr,yes
cvc4_tplanes,bvsle_bvashr0,rtl,no
cvc4_tplanes,bvsle_bvashr1,ltr,no
cvc4_tplanes,bvsle_bvashr1,rtl,yes
cvc4_tplanes,bvsle_bvlshr0,ltr,yes
cvc4_tplanes,bvsle_bvlshr0,rtl,yes
cvc4_tplanes,bvsle_bvlshr1,ltr,no
cvc4_tplanes,bvsle_bvlshr1,rtl,yes
cvc4_tplanes,bvsle_bvmul,ltr,no
cvc4_tplanes,bvsle_bvmul,rtl,yes
cvc4_tplanes,bvsle_bvneg,ltr,yes
cvc4_tplanes,bvsle_bvneg,rtl,yes
cvc4_tplanes,bvsle_bvnot,ltr,yes
cvc4_tplanes,bvsle_bvnot,rtl,yes
cvc4_tplanes,bvsle_bvor,ltr,no
cvc4_tplanes,bvsle_bvor,rtl,no
cvc4_tplanes,bvsle_bvshl0,ltr,no
cvc4_tplanes,bvsle_bvshl0,rtl,yes
cvc4_tplanes,bvsle_bvshl1,ltr,no
cvc4_tplanes,bvsle_bvshl1,rtl,yes
cvc4_tplanes,bvsle_bvudiv0,ltr,yes
cvc4_tplanes,bvsle_bvudiv0,rtl,yes
cvc4_tplanes,bvsle_bvudiv1,ltr,no
