,ic_name,direction,encoding,cond_inv,seconds
0,bvsge_bvadd,ltr,combined,inv_a,8
1,bvsge_bvadd,ltr,combined,inv_g,8
2,bvsge_bvadd,ltr,full,inv_a,0
3,bvsge_bvadd,ltr,full,inv_g,0
4,bvsge_bvadd,ltr,partial,inv_a,6
5,bvsge_bvadd,ltr,partial,inv_g,7
6,bvsge_bvadd,ltr,qf,inv_a,150
7,bvsge_bvadd,ltr,qf,inv_g,152
8,bvsge_bvadd,rtl,combined,NA,0
9,bvsge_bvadd,rtl,full,NA,0
10,bvsge_bvadd,rtl,partial,NA,0
11,bvsge_bvadd,rtl,qf,NA,0
12,bvsge_bvand,ltr,combined,no_inv,0
13,bvsge_bvand,ltr,partial,no_inv,0
14,bvsge_bvashr0,ltr,combined,inv_a,1
15,bvsge_bvashr0,ltr,combined,inv_g,1
16,bvsge_bvashr0,ltr,combined,inv_r,1
17,bvsge_bvashr0,ltr,full,inv_a,0
18,bvsge_bvashr0,ltr,full,inv_g,0
19,bvsge_bvashr0,ltr,full,inv_r,0
20,bvsge_bvashr1,rtl,combined,NA,1
21,bvsge_bvlshr0,ltr,combined,inv_g,47
22,bvsge_bvlshr0,ltr,full,no_inv,69
23,bvsge_bvlshr0,rtl,combined,NA,84
24,bvsge_bvlshr1,ltr,combined,no_inv,7
25,bvsge_bvlshr1,ltr,full,no_inv,0
26,bvsge_bvlshr1,ltr,partial,no_inv,6
27,bvsge_bvlshr1,rtl,combined,NA,0
28,bvsge_bvlshr1,rtl,full,NA,2
29,bvsge_bvneg,ltr,combined,inv_a,1
30,bvsge_bvneg,ltr,combined,inv_g,1
31,bvsge_bvneg,ltr,combined,inv_r,1
32,bvsge_bvneg,ltr,full,inv_a,0
33,bvsge_bvneg,ltr,full,inv_g,0
34,bvsge_bvneg,ltr,full,inv_r,0
35,bvsge_bvneg,ltr,partial,inv_a,2
36,bvsge_bvneg,ltr,partial,inv_g,2
37,bvsge_bvneg,ltr,partial,inv_r,2
38,bvsge_bvneg,ltr,qf,inv_a,0
39,bvsge_bvneg,ltr,qf,inv_g,0
40,bvsge_bvneg,ltr,qf,inv_r,0
41,bvsge_bvneg,rtl,combined,NA,0
42,bvsge_bvneg,rtl,full,NA,0
43,bvsge_bvneg,rtl,partial,NA,0
44,bvsge_bvneg,rtl,qf,NA,0
45,bvsge_bvnot,ltr,combined,inv_a,0
46,bvsge_bvnot,ltr,combined,inv_g,0
47,bvsge_bvnot,ltr,combined,inv_r,0
48,bvsge_bvnot,ltr,full,inv_a,0
49,bvsge_bvnot,ltr,full,inv_g,0
50,bvsge_bvnot,ltr,full,inv_r,0
51,bvsge_bvnot,ltr,full,no_inv,13
52,bvsge_bvnot,ltr,partial,no_inv,0
53,bvsge_bvnot,ltr,qf,no_inv,0
54,bvsge_bvnot,rtl,combined,NA,0
55,bvsge_bvnot,rtl,full,NA,0
56,bvsge_bvnot,rtl,partial,NA,0
57,bvsge_bvnot,rtl,qf,NA,0
58,bvsge_bvshl1,rtl,combined,NA,0
59,bvsge_bvshl1,rtl,partial,NA,0
60,bvsge_bvudiv0,ltr,combined,no_inv,30
61,bvsge_bvudiv0,ltr,full,no_inv,0
62,bvsge_bvudiv0,rtl,combined,NA,10
63,bvsge_bvudiv0,rtl,full,NA,0
64,bvsge_bvudiv1,rtl,combined,NA,0
65,bvsge_bvurem0,ltr,combined,inv_a,2
66,bvsge_bvurem0,ltr,combined,inv_g,10
67,bvsge_bvurem0,ltr,combined,inv_r,2
68,bvsge_bvurem0,ltr,full,inv_a,0
69,bvsge_bvurem0,ltr,full,inv_g,0
70,bvsge_bvurem0,ltr,full,inv_r,0
71,bvsge_bvurem0,rtl,combined,NA,0
72,bvsge_bvurem0,rtl,full,NA,0
73,bvsge_bvurem0,rtl,partial,NA,0
74,bvsge_bvurem1,rtl,combined,NA,0
75,bvsge_bvurem1,rtl,full,NA,0
76,bvsge_bvurem1,rtl,partial,NA,23
77,bvsgt_bvadd,ltr,combined,inv_a,15
78,bvsgt_bvadd,ltr,combined,inv_g,15
79,bvsgt_bvadd,ltr,full,inv_a,0
80,bvsgt_bvadd,ltr,full,inv_g,0
81,bvsgt_bvadd,rtl,combined,NA,0
82,bvsgt_bvadd,rtl,full,NA,0
83,bvsgt_bvand,ltr,combined,no_inv,8
84,bvsgt_bvand,ltr,partial,inv_a,5
85,bvsgt_bvand,ltr,partial,inv_g,5
86,bvsgt_bvand,ltr,partial,inv_r,5
87,bvsgt_bvand,ltr,partial,no_inv,16
88,bvsgt_bvashr0,ltr,combined,inv_a,0
89,bvsgt_bvashr0,ltr,combined,inv_g,0
90,bvsgt_bvashr0,ltr,combined,inv_r,0
91,bvsgt_bvashr0,ltr,full,inv_a,0
92,bvsgt_bvashr0,ltr,full,inv_g,0
93,bvsgt_bvashr0,ltr,full,inv_r,0
94,bvsgt_bvlshr0,ltr,combined,inv_g,0
95,bvsgt_bvlshr0,ltr,combined,no_inv,0
96,bvsgt_bvlshr0,ltr,full,inv_g,0
97,bvsgt_bvlshr0,ltr,partial,inv_g,0
98,bvsgt_bvlshr0,ltr,partial,no_inv,0
99,bvsgt_bvlshr0,ltr,qf,inv_g,0
100,bvsgt_bvlshr0,ltr,qf,no_inv,0
101,bvsgt_bvlshr1,ltr,combined,no_inv,12
102,bvsgt_bvlshr1,ltr,full,no_inv,0
103,bvsgt_bvlshr1,ltr,partial,no_inv,7
104,bvsgt_bvlshr1,ltr,qf,no_inv,6
105,bvsgt_bvlshr1,rtl,combined,NA,77
106,bvsgt_bvneg,ltr,combined,inv_a,1
107,bvsgt_bvneg,ltr,combined,inv_g,1
108,bvsgt_bvneg,ltr,combined,inv_r,1
109,bvsgt_bvneg,ltr,full,inv_a,0
110,bvsgt_bvneg,ltr,full,inv_g,0
111,bvsgt_bvneg,ltr,full,inv_r,0
112,bvsgt_bvneg,rtl,combined,NA,0
113,bvsgt_bvneg,rtl,full,NA,0
114,bvsgt_bvnot,ltr,combined,inv_a,0
115,bvsgt_bvnot,ltr,combined,inv_g,0
116,bvsgt_bvnot,ltr,combined,inv_r,0
117,bvsgt_bvnot,ltr,full,inv_a,0
118,bvsgt_bvnot,ltr,full,inv_g,0
119,bvsgt_bvnot,ltr,full,inv_r,0
120,bvsgt_bvnot,rtl,combined,NA,0
121,bvsgt_bvnot,rtl,full,NA,0
122,bvsgt_bvor,ltr,combined,inv_a,7
123,bvsgt_bvor,ltr,combined,inv_g,7
124,bvsgt_bvor,ltr,combined,inv_r,7
125,bvsgt_bvor,ltr,partial,inv_a,4
126,bvsgt_bvor,ltr,partial,inv_g,4
127,bvsgt_bvor,ltr,partial,inv_r,3
128,bvsgt_bvshl1,rtl,combined,NA,0
129,bvsgt_bvshl1,rtl,partial,NA,0
130,bvsgt_bvudiv0,ltr,combined,no_inv,11
131,bvsgt_bvudiv0,ltr,full,no_inv,0
132,bvsgt_bvudiv0,ltr,partial,no_inv,0
133,bvsgt_bvudiv0,rtl,combined,NA,1
134,bvsgt_bvudiv0,rtl,full,NA,0
135,bvsgt_bvudiv1,rtl,combined,NA,32
136,bvsgt_bvurem0,ltr,combined,inv_a,29
137,bvsgt_bvurem0,ltr,combined,inv_g,29
138,bvsgt_bvurem0,ltr,combined,inv_r,28
139,bvsgt_bvurem0,ltr,full,inv_a,0
140,bvsgt_bvurem0,ltr,full,inv_g,0
141,bvsgt_bvurem0,ltr,full,inv_r,0
142,bvsgt_bvurem0,rtl,combined,NA,0
143,bvsgt_bvurem0,rtl,full,NA,0
144,bvsgt_bvurem1,rtl,combined,NA,0
145,bvsgt_bvurem1,rtl,full,NA,0
146,bvsle_bvadd,ltr,combined,inv_a,11
147,bvsle_bvadd,ltr,combined,inv_g,11
148,bvsle_bvadd,ltr,full,inv_a,0
149,bvsle_bvadd,ltr,full,inv_g,0
150,bvsle_bvadd,rtl,combined,NA,0
151,bvsle_bvadd,rtl,full,NA,0
152,bvsle_bvadd,rtl,partial,NA,0
153,bvsle_bvadd,rtl,qf,NA,0
154,bvsle_bvashr0,ltr,combined,inv_a,0
155,bvsle_bvashr0,ltr,combined,inv_g,0
156,bvsle_bvashr0,ltr,combined,inv_r,0
157,bvsle_bvashr0,ltr,full,inv_a,0
158,bvsle_bvashr0,ltr,full,inv_g,0
159,bvsle_bvashr0,ltr,full,inv_r,0
160,bvsle_bvashr0,ltr,partial,inv_a,0
161,bvsle_bvashr0,ltr,partial,inv_g,0
162,bvsle_bvashr0,ltr,partial,inv_r,0
163,bvsle_bvashr1,rtl,combined,NA,1
164,bvsle_bvlshr0,ltr,combined,inv_a,0
165,bvsle_bvlshr0,ltr,combined,inv_g,0
166,bvsle_bvlshr0,ltr,combined,inv_r,0
167,bvsle_bvlshr0,ltr,combined,no_inv,0
168,bvsle_bvlshr0,ltr,full,inv_a,0
169,bvsle_bvlshr0,ltr,full,inv_g,0
170,bvsle_bvlshr0,ltr,full,inv_r,0
171,bvsle_bvlshr0,ltr,full,no_inv,0
172,bvsle_bvlshr0,ltr,partial,inv_a,0
173,bvsle_bvlshr0,ltr,partial,inv_g,0
174,bvsle_bvlshr0,ltr,partial,inv_r,0
175,bvsle_bvlshr0,ltr,partial,no_inv,0
176,bvsle_bvlshr0,ltr,qf,inv_a,0
177,bvsle_bvlshr0,ltr,qf,inv_g,0
178,bvsle_bvlshr0,ltr,qf,inv_r,0
179,bvsle_bvlshr0,ltr,qf,no_inv,0
180,bvsle_bvlshr0,rtl,combined,NA,43
181,bvsle_bvlshr1,rtl,combined,NA,0
182,bvsle_bvmul,rtl,combined,NA,0
183,bvsle_bvmul,rtl,full,NA,0
184,bvsle_bvmul,rtl,partial,NA,0
185,bvsle_bvmul,rtl,qf,NA,0
186,bvsle_bvneg,ltr,combined,inv_a,1
187,bvsle_bvneg,ltr,combined,inv_g,1
188,bvsle_bvneg,ltr,combined,inv_r,1
