,ic_name,direction,encoding,proved,to_keep
0,bvsge_bvadd,ltr,combined,yes,True
1,bvsge_bvadd,ltr,full,yes,False
2,bvsge_bvadd,ltr,partial,yes,False
3,bvsge_bvadd,ltr,qf,yes,True
4,bvsge_bvadd,rtl,combined,yes,True
5,bvsge_bvadd,rtl,full,yes,False
6,bvsge_bvadd,rtl,partial,yes,False
7,bvsge_bvadd,rtl,qf,yes,True
8,bvsge_bvand,ltr,combined,yes,True
9,bvsge_bvand,ltr,full,no,False
10,bvsge_bvand,ltr,partial,yes,False
11,bvsge_bvand,ltr,qf,no,True
12,bvsge_bvand,rtl,combined,no,True
13,bvsge_bvand,rtl,full,no,False
14,bvsge_bvand,rtl,partial,no,False
15,bvsge_bvand,rtl,qf,no,True
16,bvsge_bvashr0,ltr,combined,yes,True
17,bvsge_bvashr0,ltr,full,yes,False
18,bvsge_bvashr0,ltr,partial,no,False
19,bvsge_bvashr0,ltr,qf,no,True
20,bvsge_bvashr0,rtl,combined,no,True
21,bvsge_bvashr0,rtl,full,no,False
22,bvsge_bvashr0,rtl,partial,no,False
23,bvsge_bvashr0,rtl,qf,no,True
24,bvsge_bvashr1,ltr,combined,no,True
25,bvsge_bvashr1,ltr,full,no,False
26,bvsge_bvashr1,ltr,partial,no,False
27,bvsge_bvashr1,ltr,qf,no,True
28,bvsge_bvashr1,rtl,combined,yes,True
29,bvsge_bvashr1,rtl,full,no,False
30,bvsge_bvashr1,rtl,partial,no,False
31,bvsge_bvashr1,rtl,qf,no,True
32,bvsge_bvlshr0,ltr,combined,yes,True
33,bvsge_bvlshr0,ltr,full,yes,False
34,bvsge_bvlshr0,ltr,partial,no,False
35,bvsge_bvlshr0,ltr,qf,no,True
36,bvsge_bvlshr0,rtl,combined,yes,True
37,bvsge_bvlshr0,rtl,full,no,False
38,bvsge_bvlshr0,rtl,partial,no,False
39,bvsge_bvlshr0,rtl,qf,no,True
40,bvsge_bvlshr1,ltr,combined,yes,True
41,bvsge_bvlshr1,ltr,full,yes,False
42,bvsge_bvlshr1,ltr,partial,yes,False
43,bvsge_bvlshr1,ltr,qf,no,True
44,bvsge_bvlshr1,rtl,combined,yes,True
45,bvsge_bvlshr1,rtl,full,yes,False
46,bvsge_bvlshr1,rtl,partial,no,False
47,bvsge_bvlshr1,rtl,qf,no,True
48,bvsge_bvmul,ltr,combined,no,True
49,bvsge_bvmul,ltr,full,no,False
50,bvsge_bvmul,ltr,partial,no,False
51,bvsge_bvmul,ltr,qf,no,True
52,bvsge_bvmul,rtl,combined,no,True
53,bvsge_bvmul,rtl,full,no,False
54,bvsge_bvmul,rtl,partial,no,False
55,bvsge_bvmul,rtl,qf,no,True
56,bvsge_bvneg,ltr,combined,yes,True
57,bvsge_bvneg,ltr,full,yes,False
58,bvsge_bvneg,ltr,partial,yes,False
59,bvsge_bvneg,ltr,qf,yes,True
60,bvsge_bvneg,rtl,combined,yes,True
61,bvsge_bvneg,rtl,full,yes,False
62,bvsge_bvneg,rtl,partial,yes,False
63,bvsge_bvneg,rtl,qf,yes,True
64,bvsge_bvnot,ltr,combined,yes,True
65,bvsge_bvnot,ltr,full,yes,False
66,bvsge_bvnot,ltr,partial,yes,False
67,bvsge_bvnot,ltr,qf,yes,True
68,bvsge_bvnot,rtl,combined,yes,True
69,bvsge_bvnot,rtl,full,yes,False
70,bvsge_bvnot,rtl,partial,yes,False
71,bvsge_bvnot,rtl,qf,yes,True
72,bvsge_bvor,ltr,combined,no,True
73,bvsge_bvor,ltr,full,no,False
74,bvsge_bvor,ltr,partial,no,False
75,bvsge_bvor,ltr,qf,no,True
76,bvsge_bvor,rtl,combined,no,True
77,bvsge_bvor,rtl,full,no,False
78,bvsge_bvor,rtl,partial,no,False
79,bvsge_bvor,rtl,qf,no,True
