,ic_name,direction,proved
0,bvsge_bvadd,ltr,yes
1,bvsge_bvadd,rtl,yes
2,bvsge_bvand,ltr,yes
3,bvsge_bvand,rtl,no
4,bvsge_bvashr0,ltr,no
5,bvsge_bvashr0,rtl,no
6,bvsge_bvashr1,ltr,no
7,bvsge_bvashr1,rtl,yes
8,bvsge_bvlshr0,ltr,yes
9,bvsge_bvlshr0,rtl,no
10,bvsge_bvlshr1,ltr,yes
11,bvsge_bvlshr1,rtl,yes
12,bvsge_bvmul,ltr,no
13,bvsge_bvmul,rtl,no
14,bvsge_bvneg,ltr,yes
15,bvsge_bvneg,rtl,yes
16,bvsge_bvnot,ltr,yes
17,bvsge_bvnot,rtl,yes
18,bvsge_bvor,ltr,no
19,bvsge_bvor,rtl,no
20,bvsge_bvshl0,ltr,no
21,bvsge_bvshl0,rtl,no
22,bvsge_bvshl1,ltr,yes
23,bvsge_bvshl1,rtl,yes
24,bvsge_bvudiv0,ltr,yes
25,bvsge_bvudiv0,rtl,yes
26,bvsge_bvudiv1,ltr,no
27,bvsge_bvudiv1,rtl,yes
28,bvsge_bvurem0,ltr,yes
29,bvsge_bvurem0,rtl,yes
30,bvsge_bvurem1,ltr,no
31,bvsge_bvurem1,rtl,yes
32,bvsgt_bvadd,ltr,yes
33,bvsgt_bvadd,rtl,no
34,bvsgt_bvand,ltr,yes
35,bvsgt_bvand,rtl,no
36,bvsgt_bvashr0,ltr,no
37,bvsgt_bvashr0,rtl,no
38,bvsgt_bvashr1,ltr,no
39,bvsgt_bvashr1,rtl,no
40,bvsgt_bvlshr0,ltr,yes
41,bvsgt_bvlshr0,rtl,no
42,bvsgt_bvlshr1,ltr,yes
43,bvsgt_bvlshr1,rtl,no
44,bvsgt_bvmul,ltr,no
45,bvsgt_bvmul,rtl,no
46,bvsgt_bvneg,ltr,yes
47,bvsgt_bvneg,rtl,no
48,bvsgt_bvnot,ltr,yes
49,bvsgt_bvnot,rtl,yes
50,bvsgt_bvor,ltr,yes
51,bvsgt_bvor,rtl,no
52,bvsgt_bvshl0,ltr,no
53,bvsgt_bvshl0,rtl,no
54,bvsgt_bvshl1,ltr,yes
55,bvsgt_bvshl1,rtl,yes
56,bvsgt_bvudiv0,ltr,yes
57,bvsgt_bvudiv0,rtl,yes
58,bvsgt_bvudiv1,ltr,no
59,bvsgt_bvudiv1,rtl,yes
60,bvsgt_bvurem0,ltr,yes
61,bvsgt_bvurem0,rtl,yes
62,bvsgt_bvurem1,ltr,no
63,bvsgt_bvurem1,rtl,yes
64,bvsle_bvadd,ltr,yes
65,bvsle_bvadd,rtl,yes
66,bvsle_bvand,ltr,no
67,bvsle_bvand,rtl,no
68,bvsle_bvashr0,ltr,yes
69,bvsle_bvashr0,rtl,no
70,bvsle_bvashr1,ltr,no
71,bvsle_bvashr1,rtl,yes
72,bvsle_bvlshr0,ltr,yes
73,bvsle_bvlshr0,rtl,no
74,bvsle_bvlshr1,ltr,no
75,bvsle_bvlshr1,rtl,yes
76,bvsle_bvmul,ltr,no
77,bvsle_bvmul,rtl,yes
78,bvsle_bvneg,ltr,yes
79,bvsle_bvneg,rtl,yes
80,bvsle_bvnot,ltr,yes
81,bvsle_bvnot,rtl,yes
82,bvsle_bvor,ltr,yes
83,bvsle_bvor,rtl,no
84,bvsle_bvshl0,ltr,no
85,bvsle_bvshl0,rtl,no
86,bvsle_bvshl1,ltr,no
87,bvsle_bvshl1,rtl,yes
88,bvsle_bvudiv0,ltr,yes
89,bvsle_bvudiv0,rtl,yes
90,bvsle_bvudiv1,ltr,yes
91,bvsle_bvudiv1,rtl,yes
92,bvsle_bvurem0,ltr,no
93,bvsle_bvurem0,rtl,yes
94,bvsle_bvurem1,ltr,yes
95,bvsle_bvurem1,rtl,yes
96,bvslt_bvadd,ltr,yes
97,bvslt_bvadd,rtl,yes
98,bvslt_bvand,ltr,yes
99,bvslt_bvand,rtl,no
100,bvslt_bvashr0,ltr,yes
101,bvslt_bvashr0,rtl,no
102,bvslt_bvashr1,ltr,no
103,bvslt_bvashr1,rtl,yes
104,bvslt_bvlshr0,ltr,yes
105,bvslt_bvlshr0,rtl,yes
106,bvslt_bvlshr1,ltr,yes
107,bvslt_bvlshr1,rtl,yes
108,bvslt_bvmul,ltr,no
109,bvslt_bvmul,rtl,no
110,bvslt_bvneg,ltr,yes
111,bvslt_bvneg,rtl,yes
112,bvslt_bvnot,ltr,yes
113,bvslt_bvnot,rtl,yes
114,bvslt_bvor,ltr,yes
115,bvslt_bvor,rtl,no
116,bvslt_bvshl0,ltr,yes
117,bvslt_bvshl0,rtl,no
118,bvslt_bvshl1,ltr,no
119,bvslt_bvshl1,rtl,no
120,bvslt_bvudiv0,ltr,yes
121,bvslt_bvudiv0,rtl,yes
122,bvslt_bvudiv1,ltr,yes
123,bvslt_bvudiv1,rtl,yes
124,bvslt_bvurem0,ltr,no
125,bvslt_bvurem0,rtl,no
126,bvslt_bvurem1,ltr,yes
127,bvslt_bvurem1,rtl,yes
128,bvuge_bvadd,ltr,yes
129,bvuge_bvadd,rtl,yes
130,bvuge_bvand,ltr,yes
131,bvuge_bvand,rtl,yes
132,bvuge_bvashr0,ltr,yes
133,bvuge_bvashr0,rtl,yes
134,bvuge_bvashr1,ltr,yes
135,bvuge_bvashr1,rtl,yes
136,bvuge_bvlshr0,ltr,yes
137,bvuge_bvlshr0,rtl,yes
138,bvuge_bvlshr1,ltr,yes
139,bvuge_bvlshr1,rtl,yes
140,bvuge_bvmul,ltr,no
141,bvuge_bvmul,rtl,no
142,bvuge_bvneg,ltr,yes
143,bvuge_bvneg,rtl,yes
144,bvuge_bvnot,ltr,yes
145,bvuge_bvnot,rtl,yes
146,bvuge_bvor,ltr,yes
147,bvuge_bvor,rtl,yes
148,bvuge_bvshl0,ltr,yes
149,bvuge_bvshl0,rtl,no
150,bvuge_bvshl1,ltr,yes
151,bvuge_bvshl1,rtl,yes
152,bvuge_bvudiv0,ltr,no
153,bvuge_bvudiv0,rtl,yes
154,bvuge_bvudiv1,ltr,yes
155,bvuge_bvudiv1,rtl,yes
156,bvuge_bvurem0,ltr,yes
157,bvuge_bvurem0,rtl,yes
158,bvuge_bvurem1,ltr,yes
159,bvuge_bvurem1,rtl,yes
160,bvugt_bvadd,ltr,yes
161,bvugt_bvadd,rtl,yes
162,bvugt_bvand,ltr,yes
163,bvugt_bvand,rtl,yes
164,bvugt_bvashr0,ltr,yes
165,bvugt_bvashr0,rtl,yes
166,bvugt_bvashr1,ltr,no
167,bvugt_bvashr1,rtl,yes
168,bvugt_bvlshr0,ltr,yes
169,bvugt_bvlshr0,rtl,no
170,bvugt_bvlshr1,ltr,yes
171,bvugt_bvlshr1,rtl,yes
172,bvugt_bvmul,ltr,no
173,bvugt_bvmul,rtl,no
174,bvugt_bvneg,ltr,yes
175,bvugt_bvneg,rtl,yes
176,bvugt_bvnot,ltr,yes
177,bvugt_bvnot,rtl,yes
178,bvugt_bvor,ltr,yes
179,bvugt_bvor,rtl,yes
180,bvugt_bvshl0,ltr,yes
181,bvugt_bvshl0,rtl,no
182,bvugt_bvshl1,ltr,yes
183,bvugt_bvshl1,rtl,yes
184,bvugt_bvudiv0,ltr,yes
185,bvugt_bvudiv0,rtl,yes
186,bvugt_bvudiv1,ltr,yes
187,bvugt_bvudiv1,rtl,yes
188,bvugt_bvurem0,ltr,yes
189,bvugt_bvurem0,rtl,yes
190,bvugt_bvurem1,ltr,yes
191,bvugt_bvurem1,rtl,yes
192,bvule_bvadd,ltr,yes
193,bvule_bvadd,rtl,yes
194,bvule_bvand,ltr,yes
195,bvule_bvand,rtl,yes
196,bvule_bvashr0,ltr,yes
197,bvule_bvashr0,rtl,yes
198,bvule_bvashr1,ltr,no
199,bvule_bvashr1,rtl,yes
200,bvule_bvlshr0,ltr,yes
201,bvule_bvlshr0,rtl,yes
202,bvule_bvlshr1,ltr,yes
203,bvule_bvlshr1,rtl,yes
204,bvule_bvmul,ltr,yes
205,bvule_bvmul,rtl,yes
206,bvule_bvneg,ltr,yes
207,bvule_bvneg,rtl,yes
208,bvule_bvnot,ltr,yes
209,bvule_bvnot,rtl,yes
210,bvule_bvor,ltr,yes
211,bvule_bvor,rtl,yes
212,bvule_bvshl0,ltr,yes
213,bvule_bvshl0,rtl,yes
214,bvule_bvshl1,ltr,yes
215,bvule_bvshl1,rtl,yes
216,bvule_bvudiv0,ltr,yes
217,bvule_bvudiv0,rtl,yes
218,bvule_bvudiv1,ltr,yes
219,bvule_bvudiv1,rtl,yes
220,bvule_bvurem0,ltr,yes
221,bvule_bvurem0,rtl,yes
222,bvule_bvurem1,ltr,yes
223,bvule_bvurem1,rtl,yes
224,bvult_bvadd,ltr,yes
225,bvult_bvadd,rtl,yes
226,bvult_bvand,ltr,yes
227,bvult_bvand,rtl,yes
228,bvult_bvashr0,ltr,yes
229,bvult_bvashr0,rtl,yes
230,bvult_bvashr1,ltr,no
231,bvult_bvashr1,rtl,yes
232,bvult_bvlshr0,ltr,yes
233,bvult_bvlshr0,rtl,yes
234,bvult_bvlshr1,ltr,yes
235,bvult_bvlshr1,rtl,yes
236,bvult_bvmul,ltr,yes
237,bvult_bvmul,rtl,yes
238,bvult_bvneg,ltr,yes
239,bvult_bvneg,rtl,yes
240,bvult_bvnot,ltr,yes
241,bvult_bvnot,rtl,yes
242,bvult_bvor,ltr,yes
243,bvult_bvor,rtl,yes
244,bvult_bvshl0,ltr,yes
245,bvult_bvshl0,rtl,yes
246,bvult_bvshl1,ltr,yes
247,bvult_bvshl1,rtl,yes
248,bvult_bvudiv0,ltr,yes
249,bvult_bvudiv0,rtl,yes
250,bvult_bvudiv1,ltr,yes
251,bvult_bvudiv1,rtl,yes
252,bvult_bvurem0,ltr,yes
253,bvult_bvurem0,rtl,yes
254,bvult_bvurem1,ltr,yes
255,bvult_bvurem1,rtl,yes
256,eq_bvadd,ltr,yes
257,eq_bvadd,rtl,yes
258,eq_bvand,ltr,yes
259,eq_bvand,rtl,no
260,eq_bvashr0,ltr,no
261,eq_bvashr0,rtl,no
262,eq_bvashr1,ltr,yes
263,eq_bvashr1,rtl,no
264,eq_bvlshr0,ltr,yes
265,eq_bvlshr0,rtl,yes
266,eq_bvlshr1,ltr,yes
267,eq_bvlshr1,rtl,yes
