,ic_name,proved
0,bvsge_bvadd,yes
1,bvsge_bvand,no
2,bvsge_bvashr0,no
3,bvsge_bvashr1,no
4,bvsge_bvlshr0,yes
5,bvsge_bvlshr1,yes
6,bvsge_bvmul,no
7,bvsge_bvneg,yes
8,bvsge_bvnot,yes
9,bvsge_bvor,no
10,bvsge_bvshl0,no
11,bvsge_bvshl1,no
12,bvsge_bvudiv0,yes
13,bvsge_bvudiv1,no
14,bvsge_bvurem0,yes
15,bvsge_bvurem1,no
16,bvsgt_bvadd,yes
17,bvsgt_bvand,no
18,bvsgt_bvashr0,no
19,bvsgt_bvashr1,no
20,bvsgt_bvlshr0,no
21,bvsgt_bvlshr1,yes
22,bvsgt_bvmul,no
23,bvsgt_bvneg,yes
24,bvsgt_bvnot,yes
25,bvsgt_bvor,no
26,bvsgt_bvshl0,no
27,bvsgt_bvshl1,no
28,bvsgt_bvudiv0,yes
29,bvsgt_bvudiv1,no
30,bvsgt_bvurem0,yes
31,bvsgt_bvurem1,no
32,bvsle_bvadd,yes
33,bvsle_bvand,no
34,bvsle_bvashr0,no
35,bvsle_bvashr1,no
36,bvsle_bvlshr0,yes
37,bvsle_bvlshr1,no
38,bvsle_bvmul,no
39,bvsle_bvneg,yes
40,bvsle_bvnot,yes
41,bvsle_bvor,no
42,bvsle_bvshl0,no
43,bvsle_bvshl1,no
44,bvsle_bvudiv0,yes
45,bvsle_bvudiv1,yes
46,bvsle_bvurem0,no
47,bvsle_bvurem1,yes
48,bvslt_bvadd,yes
49,bvslt_bvand,yes
50,bvslt_bvashr0,no
51,bvslt_bvashr1,no
52,bvslt_bvlshr0,yes
53,bvslt_bvlshr1,no
54,bvslt_bvmul,no
55,bvslt_bvneg,yes
56,bvslt_bvnot,yes
57,bvslt_bvor,no
58,bvslt_bvshl0,no
59,bvslt_bvshl1,no
60,bvslt_bvudiv0,yes
61,bvslt_bvudiv1,yes
62,bvslt_bvurem0,no
63,bvslt_bvurem1,yes
64,bvuge_bvadd,yes
65,bvuge_bvand,yes
66,bvuge_bvashr0,yes
67,bvuge_bvashr1,no
68,bvuge_bvlshr0,yes
69,bvuge_bvlshr1,yes
70,bvuge_bvmul,no
71,bvuge_bvneg,yes
72,bvuge_bvnot,yes
73,bvuge_bvor,yes
74,bvuge_bvshl0,no
75,bvuge_bvshl1,no
76,bvuge_bvudiv0,no
77,bvuge_bvudiv1,yes
78,bvuge_bvurem0,yes
79,bvuge_bvurem1,yes
80,bvugt_bvadd,yes
81,bvugt_bvand,yes
82,bvugt_bvashr0,yes
83,bvugt_bvashr1,no
84,bvugt_bvlshr0,no
85,bvugt_bvlshr1,yes
86,bvugt_bvmul,no
87,bvugt_bvneg,yes
88,bvugt_bvnot,yes
89,bvugt_bvor,yes
90,bvugt_bvshl0,no
91,bvugt_bvshl1,no
92,bvugt_bvudiv0,yes
93,bvugt_bvudiv1,yes
94,bvugt_bvurem0,yes
95,bvugt_bvurem1,yes
96,bvule_bvadd,yes
97,bvule_bvand,yes
98,bvule_bvashr0,yes
99,bvule_bvashr1,no
100,bvule_bvlshr0,no
101,bvule_bvlshr1,no
102,bvule_bvmul,yes
103,bvule_bvneg,yes
104,bvule_bvnot,yes
105,bvule_bvor,yes
106,bvule_bvshl0,yes
107,bvule_bvshl1,no
108,bvule_bvudiv0,yes
109,bvule_bvudiv1,yes
110,bvule_bvurem0,yes
111,bvule_bvurem1,yes
112,bvult_bvadd,yes
113,bvult_bvand,yes
114,bvult_bvashr0,yes
115,bvult_bvashr1,no
116,bvult_bvlshr0,yes
117,bvult_bvlshr1,no
118,bvult_bvmul,yes
119,bvult_bvneg,yes
120,bvult_bvnot,yes
121,bvult_bvor,yes
122,bvult_bvshl0,yes
123,bvult_bvshl1,no
124,bvult_bvudiv0,yes
125,bvult_bvudiv1,no
126,bvult_bvurem0,yes
127,bvult_bvurem1,yes
128,eq_bvadd,yes
129,eq_bvand,no
130,eq_bvashr0,no
131,eq_bvashr1,no
132,eq_bvlshr0,yes
133,eq_bvlshr1,no
134,eq_bvmul,no
135,eq_bvneg,yes
136,eq_bvnot,yes
137,eq_bvor,no
138,eq_bvshl0,no
139,eq_bvshl1,no
140,eq_bvudiv0,yes
141,eq_bvudiv1,yes
142,eq_bvurem0,yes
143,eq_bvurem1,no
144,ne_bvadd,yes
145,ne_bvand,yes
146,ne_bvashr0,yes
147,ne_bvashr1,no
148,ne_bvlshr0,yes
149,ne_bvlshr1,yes
150,ne_bvmul,yes
151,ne_bvneg,yes
152,ne_bvnot,yes
153,ne_bvor,yes
154,ne_bvshl0,yes
155,ne_bvshl1,yes
156,ne_bvudiv0,yes
157,ne_bvudiv1,no
158,ne_bvurem0,yes
159,ne_bvurem1,yes
