,encoding,config,ic_name,direction,cond_inv,proved
0,ahmed,cvc4,bvsge_bvadd,ltr,inv_g,yes
1,ahmed,cvc4,bvsge_bvadd,ltr,no_inv,no
2,ahmed,cvc4,bvsge_bvadd,rtl,NA,yes
3,ahmed,cvc4,bvsge_bvand,ltr,inv_g,no
4,ahmed,cvc4,bvsge_bvand,ltr,no_inv,yes
5,ahmed,cvc4,bvsge_bvand,rtl,NA,no
6,ahmed,cvc4,bvsge_bvashr0,ltr,inv_g,yes
7,ahmed,cvc4,bvsge_bvashr0,ltr,no_inv,no
8,ahmed,cvc4,bvsge_bvashr0,rtl,NA,no
9,ahmed,cvc4,bvsge_bvashr1,ltr,inv_g,yes
10,ahmed,cvc4,bvsge_bvashr1,ltr,no_inv,no
11,ahmed,cvc4,bvsge_bvashr1,rtl,NA,yes
12,ahmed,cvc4,bvsge_bvlshr0,ltr,inv_g,no
13,ahmed,cvc4,bvsge_bvlshr0,ltr,no_inv,no
14,ahmed,cvc4,bvsge_bvlshr0,rtl,NA,no
15,ahmed,cvc4,bvsge_bvlshr1,ltr,inv_g,yes
16,ahmed,cvc4,bvsge_bvlshr1,ltr,no_inv,no
17,ahmed,cvc4,bvsge_bvlshr1,rtl,NA,yes
18,ahmed,cvc4,bvsge_bvmul,ltr,no_inv,no
19,ahmed,cvc4,bvsge_bvmul,rtl,NA,no
20,ahmed,cvc4,bvsge_bvneg,ltr,inv_g,yes
21,ahmed,cvc4,bvsge_bvneg,ltr,no_inv,no
22,ahmed,cvc4,bvsge_bvneg,rtl,NA,yes
23,ahmed,cvc4,bvsge_bvnot,ltr,inv_g,yes
24,ahmed,cvc4,bvsge_bvnot,ltr,no_inv,no
25,ahmed,cvc4,bvsge_bvnot,rtl,NA,yes
26,ahmed,cvc4,bvsge_bvor,ltr,inv_g,no
27,ahmed,cvc4,bvsge_bvor,ltr,no_inv,no
28,ahmed,cvc4,bvsge_bvor,rtl,NA,no
29,ahmed,cvc4,bvsge_bvshl0,ltr,inv_g,no
30,ahmed,cvc4,bvsge_bvshl0,ltr,no_inv,no
31,ahmed,cvc4,bvsge_bvshl0,rtl,NA,no
32,ahmed,cvc4,bvsge_bvshl1,ltr,no_inv,yes
33,ahmed,cvc4,bvsge_bvshl1,rtl,NA,yes
34,ahmed,cvc4,bvsge_bvudiv0,ltr,no_inv,no
35,ahmed,cvc4,bvsge_bvudiv0,rtl,NA,no
36,ahmed,cvc4,bvsge_bvudiv1,ltr,no_inv,no
37,ahmed,cvc4,bvsge_bvudiv1,rtl,NA,no
38,ahmed,cvc4,bvsge_bvurem0,ltr,inv_g,yes
39,ahmed,cvc4,bvsge_bvurem0,ltr,no_inv,no
40,ahmed,cvc4,bvsge_bvurem0,rtl,NA,yes
41,ahmed,cvc4,bvsge_bvurem1,ltr,inv_g,no
42,ahmed,cvc4,bvsge_bvurem1,ltr,inv_r,no
43,ahmed,cvc4,bvsge_bvurem1,ltr,no_inv,no
44,ahmed,cvc4,bvsge_bvurem1,rtl,NA,no
45,ahmed,cvc4,bvsgt_bvadd,ltr,inv_g,yes
46,ahmed,cvc4,bvsgt_bvadd,ltr,no_inv,no
47,ahmed,cvc4,bvsgt_bvadd,rtl,NA,yes
48,ahmed,cvc4,bvsgt_bvand,ltr,inv_g,no
49,ahmed,cvc4,bvsgt_bvand,ltr,no_inv,no
50,ahmed,cvc4,bvsgt_bvand,rtl,NA,no
51,ahmed,cvc4,bvsgt_bvashr0,ltr,inv_g,yes
52,ahmed,cvc4,bvsgt_bvashr0,ltr,no_inv,no
53,ahmed,cvc4,bvsgt_bvashr0,rtl,NA,no
54,ahmed,cvc4,bvsgt_bvashr1,ltr,inv_g,no
55,ahmed,cvc4,bvsgt_bvashr1,ltr,no_inv,no
56,ahmed,cvc4,bvsgt_bvashr1,rtl,NA,no
57,ahmed,cvc4,bvsgt_bvlshr0,ltr,inv_g,yes
58,ahmed,cvc4,bvsgt_bvlshr0,ltr,no_inv,no
59,ahmed,cvc4,bvsgt_bvlshr0,rtl,NA,no
60,ahmed,cvc4,bvsgt_bvlshr1,ltr,inv_g,yes
61,ahmed,cvc4,bvsgt_bvlshr1,ltr,no_inv,yes
62,ahmed,cvc4,bvsgt_bvlshr1,rtl,NA,yes
63,ahmed,cvc4,bvsgt_bvmul,ltr,no_inv,no
64,ahmed,cvc4,bvsgt_bvmul,rtl,NA,no
65,ahmed,cvc4,bvsgt_bvneg,ltr,inv_g,yes
66,ahmed,cvc4,bvsgt_bvneg,ltr,no_inv,no
67,ahmed,cvc4,bvsgt_bvneg,rtl,NA,yes
68,ahmed,cvc4,bvsgt_bvnot,ltr,inv_g,yes
69,ahmed,cvc4,bvsgt_bvnot,ltr,no_inv,no
70,ahmed,cvc4,bvsgt_bvnot,rtl,NA,yes
71,ahmed,cvc4,bvsgt_bvor,ltr,inv_g,no
72,ahmed,cvc4,bvsgt_bvor,ltr,no_inv,no
73,ahmed,cvc4,bvsgt_bvor,rtl,NA,no
74,ahmed,cvc4,bvsgt_bvshl0,ltr,inv_g,no
75,ahmed,cvc4,bvsgt_bvshl0,ltr,no_inv,no
76,ahmed,cvc4,bvsgt_bvshl0,rtl,NA,no
77,ahmed,cvc4,bvsgt_bvshl1,ltr,no_inv,yes
78,ahmed,cvc4,bvsgt_bvshl1,rtl,NA,yes
79,ahmed,cvc4,bvsgt_bvudiv0,ltr,no_inv,no
80,ahmed,cvc4,bvsgt_bvudiv0,rtl,NA,no
81,ahmed,cvc4,bvsgt_bvudiv1,ltr,no_inv,no
82,ahmed,cvc4,bvsgt_bvudiv1,rtl,NA,no
83,ahmed,cvc4,bvsgt_bvurem0,ltr,inv_g,yes
84,ahmed,cvc4,bvsgt_bvurem0,ltr,no_inv,no
85,ahmed,cvc4,bvsgt_bvurem0,rtl,NA,yes
86,ahmed,cvc4,bvsgt_bvurem1,ltr,no_inv,no
87,ahmed,cvc4,bvsgt_bvurem1,rtl,NA,yes
88,ahmed,cvc4,bvsle_bvadd,ltr,inv_g,no
89,ahmed,cvc4,bvsle_bvadd,ltr,no_inv,no
90,ahmed,cvc4,bvsle_bvadd,rtl,NA,yes
91,ahmed,cvc4,bvsle_bvand,ltr,inv_g,no
92,ahmed,cvc4,bvsle_bvand,ltr,no_inv,no
93,ahmed,cvc4,bvsle_bvand,rtl,NA,no
94,ahmed,cvc4,bvsle_bvashr0,ltr,inv_g,yes
95,ahmed,cvc4,bvsle_bvashr0,ltr,no_inv,no
96,ahmed,cvc4,bvsle_bvashr0,rtl,NA,no
97,ahmed,cvc4,bvsle_bvashr1,ltr,inv_d2,yes
98,ahmed,cvc4,bvsle_bvashr1,ltr,inv_g,yes
99,ahmed,cvc4,bvsle_bvashr1,ltr,no_inv,no
100,ahmed,cvc4,bvsle_bvashr1,rtl,NA,no
101,ahmed,cvc4,bvsle_bvlshr0,ltr,inv_g,yes
102,ahmed,cvc4,bvsle_bvlshr0,ltr,no_inv,no
103,ahmed,cvc4,bvsle_bvlshr0,rtl,NA,no
104,ahmed,cvc4,bvsle_bvlshr1,ltr,inv_d2,yes
105,ahmed,cvc4,bvsle_bvlshr1,ltr,inv_g,yes
106,ahmed,cvc4,bvsle_bvlshr1,ltr,no_inv,yes
107,ahmed,cvc4,bvsle_bvlshr1,rtl,NA,no
108,ahmed,cvc4,bvsle_bvmul,ltr,inv_g,no
109,ahmed,cvc4,bvsle_bvmul,ltr,no_inv,no
110,ahmed,cvc4,bvsle_bvmul,rtl,NA,yes
111,ahmed,cvc4,bvsle_bvneg,ltr,inv_g,yes
112,ahmed,cvc4,bvsle_bvneg,ltr,no_inv,no
113,ahmed,cvc4,bvsle_bvneg,rtl,NA,yes
114,ahmed,cvc4,bvsle_bvnot,ltr,inv_g,yes
115,ahmed,cvc4,bvsle_bvnot,ltr,no_inv,no
116,ahmed,cvc4,bvsle_bvnot,rtl,NA,yes
117,ahmed,cvc4,bvsle_bvor,ltr,inv_g,no
118,ahmed,cvc4,bvsle_bvor,ltr,no_inv,no
119,ahmed,cvc4,bvsle_bvor,rtl,NA,no
120,ahmed,cvc4,bvsle_bvshl0,ltr,inv_g,no
121,ahmed,cvc4,bvsle_bvshl0,ltr,no_inv,no
122,ahmed,cvc4,bvsle_bvshl0,rtl,NA,no
123,ahmed,cvc4,bvsle_bvshl1,ltr,no_inv,no
124,ahmed,cvc4,bvsle_bvshl1,rtl,NA,no
125,ahmed,cvc4,bvsle_bvudiv0,ltr,inv_g,yes
126,ahmed,cvc4,bvsle_bvudiv0,ltr,no_inv,no
127,ahmed,cvc4,bvsle_bvudiv0,rtl,NA,yes
128,ahmed,cvc4,bvsle_bvudiv1,ltr,inv_g,yes
129,ahmed,cvc4,bvsle_bvudiv1,ltr,no_inv,no
130,ahmed,cvc4,bvsle_bvudiv1,rtl,NA,no
131,ahmed,cvc4,bvsle_bvurem0,ltr,inv_g,no
132,ahmed,cvc4,bvsle_bvurem0,ltr,no_inv,no
133,ahmed,cvc4,bvsle_bvurem0,rtl,NA,no
134,ahmed,cvc4,bvsle_bvurem1,ltr,inv_g,yes
135,ahmed,cvc4,bvsle_bvurem1,ltr,no_inv,no
136,ahmed,cvc4,bvsle_bvurem1,rtl,NA,yes
137,ahmed,cvc4,bvslt_bvadd,ltr,inv_g,yes
138,ahmed,cvc4,bvslt_bvadd,ltr,no_inv,no
