encoding,config,ic_name,direction,proved
ahmed,cvc4,bvsge_bvadd,ltr,yes
ahmed,cvc4,bvsge_bvadd,rtl,yes
ahmed,cvc4,bvsge_bvand,ltr,yes
ahmed,cvc4,bvsge_bvand,rtl,no
ahmed,cvc4,bvsge_bvashr0,ltr,yes
ahmed,cvc4,bvsge_bvashr0,rtl,no
ahmed,cvc4,bvsge_bvashr1,ltr,yes
ahmed,cvc4,bvsge_bvashr1,rtl,yes
ahmed,cvc4,bvsge_bvlshr0,ltr,no
ahmed,cvc4,bvsge_bvlshr0,rtl,no
ahmed,cvc4,bvsge_bvlshr1,ltr,yes
ahmed,cvc4,bvsge_bvlshr1,rtl,yes
ahmed,cvc4,bvsge_bvmul,ltr,no
ahmed,cvc4,bvsge_bvmul,rtl,no
ahmed,cvc4,bvsge_bvneg,ltr,yes
ahmed,cvc4,bvsge_bvneg,rtl,yes
ahmed,cvc4,bvsge_bvnot,ltr,yes
ahmed,cvc4,bvsge_bvnot,rtl,yes
ahmed,cvc4,bvsge_bvor,ltr,no
ahmed,cvc4,bvsge_bvor,rtl,no
ahmed,cvc4,bvsge_bvshl0,ltr,no
ahmed,cvc4,bvsge_bvshl0,rtl,no
ahmed,cvc4,bvsge_bvshl1,ltr,yes
ahmed,cvc4,bvsge_bvshl1,rtl,yes
ahmed,cvc4,bvsge_bvudiv0,ltr,no
ahmed,cvc4,bvsge_bvudiv0,rtl,no
ahmed,cvc4,bvsge_bvudiv1,ltr,no
ahmed,cvc4,bvsge_bvudiv1,rtl,no
ahmed,cvc4,bvsge_bvurem0,ltr,yes
ahmed,cvc4,bvsge_bvurem0,rtl,yes
ahmed,cvc4,bvsge_bvurem1,ltr,no
ahmed,cvc4,bvsge_bvurem1,rtl,no
ahmed,cvc4,bvsgt_bvadd,ltr,yes
ahmed,cvc4,bvsgt_bvadd,rtl,yes
ahmed,cvc4,bvsgt_bvand,ltr,no
ahmed,cvc4,bvsgt_bvand,rtl,no
ahmed,cvc4,bvsgt_bvashr0,ltr,yes
ahmed,cvc4,bvsgt_bvashr0,rtl,no
ahmed,cvc4,bvsgt_bvashr1,ltr,no
ahmed,cvc4,bvsgt_bvashr1,rtl,no
ahmed,cvc4,bvsgt_bvlshr0,ltr,yes
ahmed,cvc4,bvsgt_bvlshr0,rtl,no
ahmed,cvc4,bvsgt_bvlshr1,ltr,yes
ahmed,cvc4,bvsgt_bvlshr1,rtl,yes
ahmed,cvc4,bvsgt_bvmul,ltr,no
ahmed,cvc4,bvsgt_bvmul,rtl,no
ahmed,cvc4,bvsgt_bvneg,ltr,yes
ahmed,cvc4,bvsgt_bvneg,rtl,yes
ahmed,cvc4,bvsgt_bvnot,ltr,yes
ahmed,cvc4,bvsgt_bvnot,rtl,yes
ahmed,cvc4,bvsgt_bvor,ltr,no
ahmed,cvc4,bvsgt_bvor,rtl,no
ahmed,cvc4,bvsgt_bvshl0,ltr,no
ahmed,cvc4,bvsgt_bvshl0,rtl,no
ahmed,cvc4,bvsgt_bvshl1,ltr,yes
ahmed,cvc4,bvsgt_bvshl1,rtl,yes
ahmed,cvc4,bvsgt_bvudiv0,ltr,no
ahmed,cvc4,bvsgt_bvudiv0,rtl,no
ahmed,cvc4,bvsgt_bvudiv1,ltr,no
ahmed,cvc4,bvsgt_bvudiv1,rtl,no
ahmed,cvc4,bvsgt_bvurem0,ltr,yes
ahmed,cvc4,bvsgt_bvurem0,rtl,yes
ahmed,cvc4,bvsgt_bvurem1,ltr,no
ahmed,cvc4,bvsgt_bvurem1,rtl,yes
ahmed,cvc4,bvsle_bvadd,ltr,no
ahmed,cvc4,bvsle_bvadd,rtl,yes
ahmed,cvc4,bvsle_bvand,ltr,no
ahmed,cvc4,bvsle_bvand,rtl,no
ahmed,cvc4,bvsle_bvashr0,ltr,yes
ahmed,cvc4,bvsle_bvashr0,rtl,no
ahmed,cvc4,bvsle_bvashr1,ltr,yes
ahmed,cvc4,bvsle_bvashr1,rtl,no
ahmed,cvc4,bvsle_bvlshr0,ltr,yes
ahmed,cvc4,bvsle_bvlshr0,rtl,no
ahmed,cvc4,bvsle_bvlshr1,ltr,yes
ahmed,cvc4,bvsle_bvlshr1,rtl,no
ahmed,cvc4,bvsle_bvmul,ltr,no
ahmed,cvc4,bvsle_bvmul,rtl,yes
ahmed,cvc4,bvsle_bvneg,ltr,yes
ahmed,cvc4,bvsle_bvneg,rtl,yes
ahmed,cvc4,bvsle_bvnot,ltr,yes
ahmed,cvc4,bvsle_bvnot,rtl,yes
ahmed,cvc4,bvsle_bvor,ltr,no
ahmed,cvc4,bvsle_bvor,rtl,no
ahmed,cvc4,bvsle_bvshl0,ltr,no
ahmed,cvc4,bvsle_bvshl0,rtl,no
ahmed,cvc4,bvsle_bvshl1,ltr,no
ahmed,cvc4,bvsle_bvshl1,rtl,no
ahmed,cvc4,bvsle_bvudiv0,ltr,yes
ahmed,cvc4,bvsle_bvudiv0,rtl,yes
ahmed,cvc4,bvsle_bvudiv1,ltr,yes
ahmed,cvc4,bvsle_bvudiv1,rtl,no
ahmed,cvc4,bvsle_bvurem0,ltr,no
ahmed,cvc4,bvsle_bvurem0,rtl,no
ahmed,cvc4,bvsle_bvurem1,ltr,yes
ahmed,cvc4,bvsle_bvurem1,rtl,yes
ahmed,cvc4,bvslt_bvadd,ltr,yes
ahmed,cvc4,bvslt_bvadd,rtl,yes
ahmed,cvc4,bvslt_bvand,ltr,yes
ahmed,cvc4,bvslt_bvand,rtl,no
ahmed,cvc4,bvslt_bvashr0,ltr,yes
ahmed,cvc4,bvslt_bvashr0,rtl,no
ahmed,cvc4,bvslt_bvashr1,ltr,yes
ahmed,cvc4,bvslt_bvashr1,rtl,yes
ahmed,cvc4,bvslt_bvlshr0,ltr,no
ahmed,cvc4,bvslt_bvlshr0,rtl,no
ahmed,cvc4,bvslt_bvlshr1,ltr,yes
ahmed,cvc4,bvslt_bvlshr1,rtl,yes
ahmed,cvc4,bvslt_bvmul,ltr,no
ahmed,cvc4,bvslt_bvmul,rtl,no
ahmed,cvc4,bvslt_bvneg,ltr,yes
ahmed,cvc4,bvslt_bvneg,rtl,yes
ahmed,cvc4,bvslt_bvnot,ltr,yes
ahmed,cvc4,bvslt_bvnot,rtl,yes
ahmed,cvc4,bvslt_bvor,ltr,yes
ahmed,cvc4,bvslt_bvor,rtl,no
ahmed,cvc4,bvslt_bvshl0,ltr,yes
ahmed,cvc4,bvslt_bvshl0,rtl,no
ahmed,cvc4,bvslt_bvshl1,ltr,no
ahmed,cvc4,bvslt_bvshl1,rtl,no
ahmed,cvc4,bvslt_bvudiv0,ltr,no
ahmed,cvc4,bvslt_bvudiv0,rtl,no
ahmed,cvc4,bvslt_bvudiv1,ltr,yes
