encoding,config,proved
full,cvc4_cbqi,97
full,cvc4_default,98
full,cvc4_fmf,103
full,cvc4_tplanes,99
full,cvc4_tplanes_cbqi,97
full,cvc4_tplanes_fmf,103
full,cvc4_tplanes_saturate_no_e_matching,100
full,z3_default,84
full_ind,cvc4_cbqi,80
full_ind,cvc4_default,83
full_ind,cvc4_fmf,107
full_ind,cvc4_tplanes,83
full_ind,cvc4_tplanes_cbqi,80
full_ind,cvc4_tplanes_fmf,107
full_ind,cvc4_tplanes_saturate_no_e_matching,97
full_ind,z3_default,80
partial,cvc4_cbqi,112
partial,cvc4_default,125
partial,cvc4_fmf,70
partial,cvc4_tplanes,125
partial,cvc4_tplanes_cbqi,112
partial,cvc4_tplanes_fmf,70
partial,cvc4_tplanes_saturate_no_e_matching,116
partial,z3_default,89
partial_ind,cvc4_cbqi,100
partial_ind,cvc4_default,103
partial_ind,cvc4_fmf,78
partial_ind,cvc4_tplanes,103
partial_ind,cvc4_tplanes_cbqi,100
partial_ind,cvc4_tplanes_fmf,78
partial_ind,cvc4_tplanes_saturate_no_e_matching,96
partial_ind,z3_default,79
qf,cvc4_cbqi,116
qf,cvc4_default,115
qf,cvc4_fmf,115
qf,cvc4_tplanes,116
qf,cvc4_tplanes_cbqi,116
qf,cvc4_tplanes_fmf,116
qf,cvc4_tplanes_saturate_no_e_matching,113
qf,z3_default,89
qf_ind,cvc4_cbqi,90
qf_ind,cvc4_default,93
qf_ind,cvc4_fmf,108
qf_ind,cvc4_tplanes,93
qf_ind,cvc4_tplanes_cbqi,90
qf_ind,cvc4_tplanes_fmf,108
qf_ind,cvc4_tplanes_saturate_no_e_matching,88
qf_ind,z3_default,84
rec,cvc4_cbqi,69
rec,cvc4_default,69
rec,cvc4_fmf,73
rec,cvc4_tplanes,69
rec,cvc4_tplanes_cbqi,69
rec,cvc4_tplanes_fmf,72
rec,cvc4_tplanes_saturate_no_e_matching,104
rec,z3_default,70
rec_ind,cvc4_cbqi,78
rec_ind,cvc4_default,78
rec_ind,cvc4_fmf,89
rec_ind,cvc4_tplanes,78
rec_ind,cvc4_tplanes_cbqi,78
rec_ind,cvc4_tplanes_fmf,89
rec_ind,cvc4_tplanes_saturate_no_e_matching,103
rec_ind,z3_default,81
