encoding,ic_name,direction,proved
full,bvsge_bvadd,ltr,yes
full,bvsge_bvadd,rtl,yes
full,bvsge_bvand,ltr,no
full,bvsge_bvand,rtl,no
full,bvsge_bvashr0,ltr,no
full,bvsge_bvashr0,rtl,no
full,bvsge_bvashr1,ltr,no
full,bvsge_bvashr1,rtl,yes
full,bvsge_bvlshr0,ltr,no
full,bvsge_bvlshr0,rtl,no
full,bvsge_bvlshr1,ltr,no
full,bvsge_bvlshr1,rtl,no
full,bvsge_bvmul,ltr,no
full,bvsge_bvmul,rtl,no
full,bvsge_bvneg,ltr,yes
full,bvsge_bvneg,rtl,yes
full,bvsge_bvnot,ltr,yes
full,bvsge_bvnot,rtl,yes
full,bvsge_bvor,ltr,no
full,bvsge_bvor,rtl,no
full,bvsge_bvshl0,ltr,no
full,bvsge_bvshl0,rtl,no
full,bvsge_bvshl1,ltr,no
full,bvsge_bvshl1,rtl,no
full,bvsge_bvudiv0,ltr,no
full,bvsge_bvudiv0,rtl,yes
full,bvsge_bvudiv1,ltr,no
full,bvsge_bvudiv1,rtl,no
full,bvsge_bvurem0,ltr,yes
full,bvsge_bvurem0,rtl,yes
full,bvsge_bvurem1,ltr,no
full,bvsge_bvurem1,rtl,yes
full,bvsgt_bvadd,ltr,yes
full,bvsgt_bvadd,rtl,yes
full,bvsgt_bvand,ltr,no
full,bvsgt_bvand,rtl,no
full,bvsgt_bvashr0,ltr,no
full,bvsgt_bvashr0,rtl,no
full,bvsgt_bvashr1,ltr,no
full,bvsgt_bvashr1,rtl,no
full,bvsgt_bvlshr0,ltr,yes
full,bvsgt_bvlshr0,rtl,no
full,bvsgt_bvlshr1,ltr,no
full,bvsgt_bvlshr1,rtl,no
full,bvsgt_bvmul,ltr,no
full,bvsgt_bvmul,rtl,no
full,bvsgt_bvneg,ltr,yes
full,bvsgt_bvneg,rtl,yes
full,bvsgt_bvnot,ltr,yes
full,bvsgt_bvnot,rtl,yes
full,bvsgt_bvor,ltr,no
full,bvsgt_bvor,rtl,no
full,bvsgt_bvshl0,ltr,no
full,bvsgt_bvshl0,rtl,no
full,bvsgt_bvshl1,ltr,no
full,bvsgt_bvshl1,rtl,no
full,bvsgt_bvudiv0,ltr,no
full,bvsgt_bvudiv0,rtl,yes
full,bvsgt_bvudiv1,ltr,no
full,bvsgt_bvudiv1,rtl,yes
full,bvsgt_bvurem0,ltr,yes
full,bvsgt_bvurem0,rtl,yes
full,bvsgt_bvurem1,ltr,no
full,bvsgt_bvurem1,rtl,yes
full,bvsle_bvadd,ltr,no
full,bvsle_bvadd,rtl,yes
full,bvsle_bvand,ltr,no
full,bvsle_bvand,rtl,no
full,bvsle_bvashr0,ltr,no
full,bvsle_bvashr0,rtl,no
full,bvsle_bvashr1,ltr,no
full,bvsle_bvashr1,rtl,no
full,bvsle_bvlshr0,ltr,yes
full,bvsle_bvlshr0,rtl,no
full,bvsle_bvlshr1,ltr,no
full,bvsle_bvlshr1,rtl,no
full,bvsle_bvmul,ltr,no
full,bvsle_bvmul,rtl,yes
full,bvsle_bvneg,ltr,yes
full,bvsle_bvneg,rtl,yes
full,bvsle_bvnot,ltr,yes
full,bvsle_bvnot,rtl,yes
full,bvsle_bvor,ltr,no
full,bvsle_bvor,rtl,no
full,bvsle_bvshl0,ltr,no
full,bvsle_bvshl0,rtl,no
full,bvsle_bvshl1,ltr,no
full,bvsle_bvshl1,rtl,yes
full,bvsle_bvudiv0,ltr,yes
full,bvsle_bvudiv0,rtl,yes
full,bvsle_bvudiv1,ltr,no
full,bvsle_bvudiv1,rtl,yes
full,bvsle_bvurem0,ltr,no
full,bvsle_bvurem0,rtl,no
full,bvsle_bvurem1,ltr,yes
full,bvsle_bvurem1,rtl,yes
full,bvslt_bvadd,ltr,yes
full,bvslt_bvadd,rtl,yes
full,bvslt_bvand,ltr,no
full,bvslt_bvand,rtl,no
full,bvslt_bvashr0,ltr,yes
full,bvslt_bvashr0,rtl,no
full,bvslt_bvashr1,ltr,no
full,bvslt_bvashr1,rtl,no
full,bvslt_bvlshr0,ltr,yes
full,bvslt_bvlshr0,rtl,no
full,bvslt_bvlshr1,ltr,no
full,bvslt_bvlshr1,rtl,no
full,bvslt_bvmul,ltr,no
full,bvslt_bvmul,rtl,no
full,bvslt_bvneg,ltr,yes
full,bvslt_bvneg,rtl,yes
full,bvslt_bvnot,ltr,yes
full,bvslt_bvnot,rtl,yes
full,bvslt_bvor,ltr,no
full,bvslt_bvor,rtl,no
full,bvslt_bvshl0,ltr,yes
full,bvslt_bvshl0,rtl,no
full,bvslt_bvshl1,ltr,no
full,bvslt_bvshl1,rtl,yes
full,bvslt_bvudiv0,ltr,yes
full,bvslt_bvudiv0,rtl,yes
full,bvslt_bvudiv1,ltr,no
full,bvslt_bvudiv1,rtl,yes
full,bvslt_bvurem0,ltr,no
full,bvslt_bvurem0,rtl,no
full,bvslt_bvurem1,ltr,yes
full,bvslt_bvurem1,rtl,yes
full,bvuge_bvadd,ltr,yes
full,bvuge_bvadd,rtl,yes
full,bvuge_bvand,ltr,no
full,bvuge_bvand,rtl,no
full,bvuge_bvashr0,ltr,yes
full,bvuge_bvashr0,rtl,yes
full,bvuge_bvashr1,ltr,no
full,bvuge_bvashr1,rtl,yes
full,bvuge_bvlshr0,ltr,no
full,bvuge_bvlshr0,rtl,yes
full,bvuge_bvlshr1,ltr,yes
full,bvuge_bvlshr1,rtl,yes
full,bvuge_bvmul,ltr,no
full,bvuge_bvmul,rtl,no
full,bvuge_bvneg,ltr,yes
full,bvuge_bvneg,rtl,yes
full,bvuge_bvnot,ltr,yes
full,bvuge_bvnot,rtl,yes
full,bvuge_bvor,ltr,no
full,bvuge_bvor,rtl,yes
full,bvuge_bvshl0,ltr,yes
full,bvuge_bvshl0,rtl,no
full,bvuge_bvshl1,ltr,no
full,bvuge_bvshl1,rtl,no
full,bvuge_bvudiv0,ltr,no
full,bvuge_bvudiv0,rtl,no
full,bvuge_bvudiv1,ltr,yes
full,bvuge_bvudiv1,rtl,yes
full,bvuge_bvurem0,ltr,yes
full,bvuge_bvurem0,rtl,yes
full,bvuge_bvurem1,ltr,no
full,bvuge_bvurem1,rtl,no
full,bvugt_bvadd,ltr,yes
full,bvugt_bvadd,rtl,yes
full,bvugt_bvand,ltr,no
full,bvugt_bvand,rtl,no
full,bvugt_bvashr0,ltr,no
full,bvugt_bvashr0,rtl,yes
full,bvugt_bvashr1,ltr,no
full,bvugt_bvashr1,rtl,no
full,bvugt_bvlshr0,ltr,yes
full,bvugt_bvlshr0,rtl,no
full,bvugt_bvlshr1,ltr,yes
full,bvugt_bvlshr1,rtl,yes
full,bvugt_bvmul,ltr,no
full,bvugt_bvmul,rtl,no
full,bvugt_bvneg,ltr,yes
full,bvugt_bvneg,rtl,yes
full,bvugt_bvnot,ltr,yes
full,bvugt_bvnot,rtl,yes
full,bvugt_bvor,ltr,no
full,bvugt_bvor,rtl,no
full,bvugt_bvshl0,ltr,yes
full,bvugt_bvshl0,rtl,no
full,bvugt_bvshl1,ltr,no
full,bvugt_bvshl1,rtl,no
full,bvugt_bvudiv0,ltr,yes
full,bvugt_bvudiv0,rtl,yes
full,bvugt_bvudiv1,ltr,yes
full,bvugt_bvudiv1,rtl,yes
full,bvugt_bvurem0,ltr,yes
full,bvugt_bvurem0,rtl,yes
full,bvugt_bvurem1,ltr,yes
full,bvugt_bvurem1,rtl,yes
full,bvule_bvadd,ltr,yes
full,bvule_bvadd,rtl,yes
full,bvule_bvand,ltr,no
full,bvule_bvand,rtl,yes
full,bvule_bvashr0,ltr,yes
full,bvule_bvashr0,rtl,yes
full,bvule_bvashr1,ltr,no
full,bvule_bvashr1,rtl,no
full,bvule_bvlshr0,ltr,no
full,bvule_bvlshr0,rtl,yes
full,bvule_bvlshr1,ltr,no
full,bvule_bvlshr1,rtl,yes
full,bvule_bvmul,ltr,yes
full,bvule_bvmul,rtl,yes
full,bvule_bvneg,ltr,yes
full,bvule_bvneg,rtl,yes
full,bvule_bvnot,ltr,yes
full,bvule_bvnot,rtl,yes
full,bvule_bvor,ltr,no
full,bvule_bvor,rtl,no
full,bvule_bvshl0,ltr,yes
full,bvule_bvshl0,rtl,yes
full,bvule_bvshl1,ltr,no
full,bvule_bvshl1,rtl,yes
full,bvule_bvudiv0,ltr,yes
full,bvule_bvudiv0,rtl,no
full,bvule_bvudiv1,ltr,yes
full,bvule_bvudiv1,rtl,no
full,bvule_bvurem0,ltr,yes
full,bvule_bvurem0,rtl,yes
full,bvule_bvurem1,ltr,yes
full,bvule_bvurem1,rtl,yes
full,bvult_bvadd,ltr,yes
full,bvult_bvadd,rtl,yes
full,bvult_bvand,ltr,yes
full,bvult_bvand,rtl,no
full,bvult_bvashr0,ltr,yes
full,bvult_bvashr0,rtl,yes
full,bvult_bvashr1,ltr,no
full,bvult_bvashr1,rtl,yes
full,bvult_bvlshr0,ltr,no
full,bvult_bvlshr0,rtl,yes
full,bvult_bvlshr1,ltr,no
full,bvult_bvlshr1,rtl,yes
full,bvult_bvmul,ltr,yes
full,bvult_bvmul,rtl,yes
full,bvult_bvneg,ltr,yes
full,bvult_bvneg,rtl,yes
full,bvult_bvnot,ltr,yes
full,bvult_bvnot,rtl,yes
full,bvult_bvor,ltr,no
full,bvult_bvor,rtl,no
full,bvult_bvshl0,ltr,yes
full,bvult_bvshl0,rtl,yes
full,bvult_bvshl1,ltr,no
full,bvult_bvshl1,rtl,yes
full,bvult_bvudiv0,ltr,yes
full,bvult_bvudiv0,rtl,yes
full,bvult_bvudiv1,ltr,yes
full,bvult_bvudiv1,rtl,no
full,bvult_bvurem0,ltr,yes
full,bvult_bvurem0,rtl,yes
full,bvult_bvurem1,ltr,yes
full,bvult_bvurem1,rtl,yes
full,eq_bvadd,ltr,yes
full,eq_bvadd,rtl,yes
full,eq_bvand,ltr,yes
full,eq_bvand,rtl,no
full,eq_bvashr0,ltr,no
full,eq_bvashr0,rtl,no
full,eq_bvashr1,ltr,no
full,eq_bvashr1,rtl,no
full,eq_bvlshr0,ltr,yes
full,eq_bvlshr0,rtl,yes
full,eq_bvlshr1,ltr,no
full,eq_bvlshr1,rtl,no
full,eq_bvmul,ltr,no
full,eq_bvmul,rtl,no
full,eq_bvneg,ltr,yes
full,eq_bvneg,rtl,yes
full,eq_bvnot,ltr,yes
full,eq_bvnot,rtl,yes
full,eq_bvor,ltr,yes
full,eq_bvor,rtl,no
full,eq_bvshl0,ltr,yes
full,eq_bvshl0,rtl,no
full,eq_bvshl1,ltr,no
full,eq_bvshl1,rtl,no
full,eq_bvudiv0,ltr,yes
full,eq_bvudiv0,rtl,yes
full,eq_bvudiv1,ltr,no
full,eq_bvudiv1,rtl,no
full,eq_bvurem0,ltr,yes
full,eq_bvurem0,rtl,yes
full,eq_bvurem1,ltr,no
full,eq_bvurem1,rtl,no
full,ne_bvadd,ltr,no
full,ne_bvadd,rtl,yes
full,ne_bvand,ltr,no
